country;variable;percentile;year;value;age;pop
AS;aconfci992;p0p100;2002;4665.7;992;i
AS;aconfci992;p0p100;2003;4631.2;992;i
AS;aconfci992;p0p100;2004;4594.8;992;i
AS;aconfci992;p0p100;2005;4550.5;992;i
AS;aconfci992;p0p100;2006;4498.8;992;i
AS;aconfci992;p0p100;2007;4446.2;992;i
AS;aconfci992;p0p100;2008;4387.6;992;i
AS;aconfci992;p0p100;2009;4326.900000000001;992;i
AS;aconfci992;p0p100;2010;4238.400000000001;992;i
AS;aconfci992;p0p100;2011;4112.8;992;i
AS;aconfci992;p0p100;2012;3990.2;992;i
AS;aconfci992;p0p100;2013;3900.3;992;i
AS;aconfci992;p0p100;2014;3848.6;992;i
AS;aconfci992;p0p100;2015;3823.2;992;i
AS;aconfci992;p0p100;2016;3808.6;992;i
AS;aconfci992;p0p100;2017;3810.2;992;i
AS;aconfci992;p0p100;2018;3852.5;992;i
AS;aconfci992;p0p100;2019;3935.3;992;i
AS;aconfci992;p0p100;2020;4002.2;992;i
AS;aconfci992;p0p100;2021;4058.7;992;i
AS;aconfci992;p0p100;2022;4150.7;992;i
AS;aconfci992;p0p100;2023;4260.8;992;i
AS;agdproi992;p0p100;2002;37098.5;992;i
AS;agdproi992;p0p100;2003;37283.4;992;i
AS;agdproi992;p0p100;2004;37320.3;992;i
AS;agdproi992;p0p100;2005;37136.1;992;i
AS;agdproi992;p0p100;2006;35679.9;992;i
AS;agdproi992;p0p100;2007;36482.6;992;i
AS;agdproi992;p0p100;2008;35717.6;992;i
AS;agdproi992;p0p100;2009;34453.1;992;i
AS;agdproi992;p0p100;2010;34494;992;i
AS;agdproi992;p0p100;2011;34064.4;992;i
AS;agdproi992;p0p100;2012;32134.5;992;i
AS;agdproi992;p0p100;2013;30988;992;i
AS;agdproi992;p0p100;2014;31316.3;992;i
AS;agdproi992;p0p100;2015;32250.1;992;i
AS;agdproi992;p0p100;2016;31831.5;992;i
AS;agdproi992;p0p100;2017;29860;992;i
AS;agdproi992;p0p100;2018;31028.9;992;i
AS;agdproi992;p0p100;2019;31331.8;992;i
AS;agdproi992;p0p100;2020;32858.1;992;i
AS;agdproi992;p0p100;2021;32553.3;992;i
