country;variable;percentile;year;value;age;pop
CK;aconfci999;p0p100;1970;723.3000000000001;999;i
CK;aconfci999;p0p100;1971;660.1;999;i
CK;aconfci999;p0p100;1972;626.4000000000001;999;i
CK;aconfci999;p0p100;1973;626.4000000000001;999;i
CK;aconfci999;p0p100;1974;643.3000000000001;999;i
CK;aconfci999;p0p100;1975;677.1;999;i
CK;aconfci999;p0p100;1976;729.6;999;i
CK;aconfci999;p0p100;1977;789.7;999;i
CK;aconfci999;p0p100;1978;843.1;999;i
CK;aconfci999;p0p100;1979;891.9000000000001;999;i
CK;aconfci999;p0p100;1980;931.4000000000001;999;i
CK;aconfci999;p0p100;1981;966.6;999;i
CK;aconfci999;p0p100;1982;1013.2;999;i
CK;aconfci999;p0p100;1983;1082.5;999;i
CK;aconfci999;p0p100;1984;1177.8;999;i
CK;aconfci999;p0p100;1985;1287.7;999;i
CK;aconfci999;p0p100;1986;1398.7;999;i
CK;aconfci999;p0p100;1987;1481.8;999;i
CK;aconfci999;p0p100;1988;1543.6;999;i
CK;aconfci999;p0p100;1989;1614.4;999;i
CK;aconfci999;p0p100;1990;1696;999;i
CK;aconfci999;p0p100;1991;1780.7;999;i
CK;aconfci999;p0p100;1992;1857.4;999;i
CK;aconfci999;p0p100;1993;1913.7;999;i
CK;aconfci999;p0p100;1994;1939;999;i
CK;aconfci999;p0p100;1995;1933.2;999;i
CK;aconfci999;p0p100;1996;1918.3;999;i
CK;aconfci999;p0p100;1997;1952.1;999;i
CK;aconfci999;p0p100;1998;2060.6;999;i
CK;aconfci999;p0p100;1999;2231.2;999;i
CK;aconfci999;p0p100;2000;2466.5;999;i
CK;aconfci999;p0p100;2001;2737.6;999;i
CK;aconfci999;p0p100;2002;2946;999;i
CK;aconfci999;p0p100;2003;3063.9;999;i
CK;aconfci999;p0p100;2004;3156.2;999;i
CK;aconfci999;p0p100;2005;3219.6;999;i
CK;aconfci999;p0p100;2006;3255.4;999;i
CK;aconfci999;p0p100;2007;3206.7;999;i
CK;aconfci999;p0p100;2008;3082.4;999;i
CK;aconfci999;p0p100;2009;2944.6;999;i
CK;aconfci999;p0p100;2010;2812.3;999;i
CK;aconfci999;p0p100;2011;2716;999;i
CK;aconfci999;p0p100;2012;2710.4;999;i
CK;aconfci999;p0p100;2013;2798.7;999;i
CK;aconfci999;p0p100;2014;2940.8;999;i
CK;aconfci999;p0p100;2015;3121.9;999;i
CK;aconfci999;p0p100;2016;3315.9;999;i
CK;aconfci999;p0p100;2017;3513;999;i
CK;aconfci999;p0p100;2018;3661.1;999;i
CK;aconfci999;p0p100;2019;3698.6;999;i
CK;aconfci999;p0p100;2020;3672.8;999;i
CK;aconfci999;p0p100;2021;3734.9;999;i
CK;aconfci999;p0p100;2022;4002.1;999;i
CK;aconfci999;p0p100;2023;4435.8;999;i
CK;aedugoi992;p0p100;1992;1850.6;992;i
CK;aedugoi992;p0p100;1993;1911.8;992;i
CK;aedugoi992;p0p100;1994;2296.9;992;i
CK;aedugoi992;p0p100;1995;1823.2;992;i
CK;aedugoi992;p0p100;1996;1481.9;992;i
CK;aedugoi992;p0p100;1997;1183.7;992;i
CK;aedugoi992;p0p100;1998;1309;992;i
CK;aedugoi992;p0p100;1999;1768.3;992;i
CK;aedugoi992;p0p100;2000;1458.2;992;i
CK;aedugoi992;p0p100;2001;1947.1;992;i
CK;aedugoi992;p0p100;2002;2157.9;992;i
CK;aedugoi992;p0p100;2003;2178.1;992;i
CK;aedugoi992;p0p100;2004;2189.4;992;i
CK;aedugoi992;p0p100;2005;2355.8;992;i
CK;aedugoi992;p0p100;2006;2482.4;992;i
CK;aedugoi992;p0p100;2007;2370.3;992;i
CK;aedugoi992;p0p100;2008;2190.2;992;i
CK;aconfci992;p0p100;1970;1880.7;992;i
CK;aconfci992;p0p100;1971;1721.3;992;i
CK;aconfci992;p0p100;1972;1627.2;992;i
CK;aconfci992;p0p100;1973;1610.4;992;i
CK;aconfci992;p0p100;1974;1642.9;992;i
CK;aconfci992;p0p100;1975;1728.5;992;i
CK;aconfci992;p0p100;1976;1875.3;992;i
CK;aconfci992;p0p100;1977;2014.7;992;i
CK;aconfci992;p0p100;1978;2098.6;992;i
CK;aconfci992;p0p100;1979;2165.9;992;i
CK;aconfci992;p0p100;1980;2208;992;i
CK;aconfci992;p0p100;1981;2241.5;992;i
CK;aconfci992;p0p100;1982;2298;992;i
CK;aconfci992;p0p100;1983;2399.3;992;i
CK;aconfci992;p0p100;1984;2553.8;992;i
CK;aconfci992;p0p100;1985;2738.4;992;i
CK;aconfci992;p0p100;1986;2930.8;992;i
CK;aconfci992;p0p100;1987;3045.6;992;i
CK;aconfci992;p0p100;1988;3096.6;992;i
CK;aconfci992;p0p100;1989;3173.2;992;i
CK;aconfci992;p0p100;1990;3280.1;992;i
CK;aconfci992;p0p100;1991;3401.6;992;i
CK;aconfci992;p0p100;1992;3502.8;992;i
CK;aconfci992;p0p100;1993;3559;992;i
CK;aconfci992;p0p100;1994;3567.6;992;i
CK;aconfci992;p0p100;1995;3531;992;i
CK;aconfci992;p0p100;1996;3492.3;992;i
CK;aconfci992;p0p100;1997;3536.3;992;i
CK;aconfci992;p0p100;1998;3698.3;992;i
CK;aconfci992;p0p100;1999;3970.7;992;i
CK;aconfci992;p0p100;2000;4362.3;992;i
CK;aconfci992;p0p100;2001;4824.400000000001;992;i
CK;aconfci992;p0p100;2002;5152.700000000001;992;i
CK;aconfci992;p0p100;2003;5293.400000000001;992;i
CK;aconfci992;p0p100;2004;5390.6;992;i
CK;aconfci992;p0p100;2005;5444.700000000001;992;i
CK;aconfci992;p0p100;2006;5455.900000000001;992;i
CK;aconfci992;p0p100;2007;5291;992;i
CK;aconfci992;p0p100;2008;4979.3;992;i
CK;aconfci992;p0p100;2009;4665.5;992;i
CK;aconfci992;p0p100;2010;4380.7;992;i
CK;aconfci992;p0p100;2011;4169.1;992;i
CK;aconfci992;p0p100;2012;4119.8;992;i
CK;aconfci992;p0p100;2013;4227.1;992;i
