country;variable;percentile;year;value;age;pop
CS;aconfci992;p0p100;1950;14462.8;992;i
CS;aconfci992;p0p100;1951;14736.5;992;i
CS;aconfci992;p0p100;1952;15062.1;992;i
CS;aconfci992;p0p100;1953;15505.3;992;i
CS;aconfci992;p0p100;1954;16171.6;992;i
CS;aconfci992;p0p100;1955;17083.5;992;i
CS;aconfci992;p0p100;1956;18186.9;992;i
CS;aconfci992;p0p100;1957;19438.5;992;i
CS;aconfci992;p0p100;1958;20748.6;992;i
CS;aconfci992;p0p100;1959;21998.2;992;i
CS;aconfci992;p0p100;1960;23087;992;i
CS;aconfci992;p0p100;1961;23908.7;992;i
CS;aconfci992;p0p100;1962;24516;992;i
CS;aconfci992;p0p100;1963;25009.4;992;i
CS;aconfci992;p0p100;1964;25555.1;992;i
CS;aconfci992;p0p100;1965;26256.4;992;i
CS;aconfci992;p0p100;1966;27067.4;992;i
CS;aconfci992;p0p100;1967;27896.3;992;i
CS;aconfci992;p0p100;1968;28747.2;992;i
CS;aconfci992;p0p100;1969;29632.8;992;i
CS;aconfci992;p0p100;1970;30592.2;992;i
CS;aconfci992;p0p100;1971;31668.8;992;i
CS;aconfci992;p0p100;1972;32893;992;i
CS;aconfci992;p0p100;1973;34294.8;992;i
CS;aconfci992;p0p100;1974;35864.5;992;i
CS;aconfci992;p0p100;1975;37477.1;992;i
CS;aconfci992;p0p100;1976;38999.9;992;i
CS;aconfci992;p0p100;1977;40392.5;992;i
CS;aconfci992;p0p100;1978;41542.8;992;i
CS;aconfci992;p0p100;1979;42378.2;992;i
CS;aconfci992;p0p100;1980;42943;992;i
CS;aconfci992;p0p100;1981;43280.4;992;i
CS;aconfci992;p0p100;1982;43535.60000000001;992;i
CS;aconfci992;p0p100;1983;43996.10000000001;992;i
CS;aconfci992;p0p100;1984;44741.9;992;i
CS;aconfci992;p0p100;1985;45726;992;i
CS;aconfci992;p0p100;1986;46876.9;992;i
CS;aconfci992;p0p100;1987;48050.3;992;i
CS;aconfci992;p0p100;1988;49105.7;992;i
CS;aconfci992;p0p100;1989;49957.8;992;i
