country;variable;percentile;year;value;age;pop
DD;acaincj992;p44p45;1980;19410.6;992;j
DD;acaincj992;p44p45;1981;19817.4;992;j
DD;acaincj992;p44p45;1982;19372.6;992;j
DD;acaincj992;p44p45;1983;19159.5;992;j
DD;acaincj992;p44p45;1984;19054.4;992;j
DD;acaincj992;p44p45;1985;19078.8;992;j
DD;acaincj992;p44p45;1986;19001.2;992;j
DD;acaincj992;p44p45;1987;19037.2;992;j
DD;acaincj992;p44p45;1988;19204.1;992;j
DD;acaincj992;p44p45;1989;20107;992;j
DD;acaincj992;p44p45;1990;17656;992;j
DD;acaincj992;p45p100;1980;26647.4;992;j
DD;acaincj992;p45p100;1981;27358.5;992;j
DD;acaincj992;p45p100;1982;26897.7;992;j
DD;acaincj992;p45p100;1983;26752.3;992;j
DD;acaincj992;p45p100;1984;26811.8;992;j
DD;acaincj992;p45p100;1985;27058.8;992;j
DD;acaincj992;p45p100;1986;27007.9;992;j
DD;acaincj992;p45p100;1987;27113.9;992;j
DD;acaincj992;p45p100;1988;27411.6;992;j
DD;acaincj992;p45p100;1989;28700.2;992;j
DD;acaincj992;p45p100;1990;25201.8;992;j
DD;acaincj992;p93p94;1980;33578.9;992;j
DD;acaincj992;p93p94;1981;34391.7;992;j
DD;acaincj992;p93p94;1982;33745.4;992;j
DD;acaincj992;p93p94;1983;33505.6;992;j
DD;acaincj992;p93p94;1984;33655.3;992;j
DD;acaincj992;p93p94;1985;34042.5;992;j
DD;acaincj992;p93p94;1986;33909;992;j
DD;acaincj992;p93p94;1987;33969.7;992;j
DD;acaincj992;p93p94;1988;34272.6;992;j
DD;acaincj992;p93p94;1989;35883.9;992;j
DD;acaincj992;p93p94;1990;31509.8;992;j
DD;acaincj992;p99.992p100;1980;71511.7;992;j
DD;acaincj992;p99.992p100;1981;101422.6;992;j
DD;acaincj992;p99.992p100;1982;138387.4;992;j
DD;acaincj992;p99.992p100;1983;188582;992;j
DD;acaincj992;p99.992p100;1984;232107.5;992;j
DD;acaincj992;p99.992p100;1985;282844.8;992;j
DD;acaincj992;p99.992p100;1986;306779.2;992;j
DD;acaincj992;p99.992p100;1987;336140.3;992;j
DD;acaincj992;p99.992p100;1988;366151.4;992;j
DD;acaincj992;p99.992p100;1989;383364.9;992;j
DD;acaincj992;p99.992p100;1990;336634.7;992;j
DD;gcaincj992;p0p100;1980;0.2605603206425612;992;j
DD;gcaincj992;p0p100;1981;0.2584626730129628;992;j
DD;gcaincj992;p0p100;1982;0.2563832689351578;992;j
DD;gcaincj992;p0p100;1983;0.2543028714522805;992;j
DD;gcaincj992;p0p100;1984;0.2571174973845256;992;j
DD;gcaincj992;p0p100;1985;0.2599194610385529;992;j
DD;gcaincj992;p0p100;1986;0.2589394073491673;992;j
DD;gcaincj992;p0p100;1987;0.2579836596700575;992;j
DD;gcaincj992;p0p100;1988;0.257028340531178;992;j
DD;gcaincj992;p0p100;1989;0.2570197728433505;992;j
DD;gcaincj992;p0p100;1990;0.2571060971776196;992;j
DD;aptincj992;p45p46;1980;27225.2;992;j
DD;aptincj992;p45p46;1981;27486.4;992;j
DD;aptincj992;p45p46;1982;26856.2;992;j
DD;aptincj992;p45p46;1983;26699.6;992;j
DD;aptincj992;p45p46;1984;26796.4;992;j
DD;aptincj992;p45p46;1985;27042.4;992;j
DD;aptincj992;p45p46;1986;27045.7;992;j
DD;aptincj992;p45p46;1987;27232.4;992;j
DD;aptincj992;p45p46;1988;27501.3;992;j
DD;aptincj992;p45p46;1989;28502.1;992;j
DD;aptincj992;p45p46;1990;24706;992;j
DD;aptincj992;p0p19;1980;1629.3;992;j
DD;aptincj992;p0p19;1981;1764.4;992;j
DD;aptincj992;p0p19;1982;1842.4;992;j
DD;aptincj992;p0p19;1983;1950.5;992;j
DD;aptincj992;p0p19;1984;1981.3;992;j
DD;aptincj992;p0p19;1985;2023.6;992;j
DD;aptincj992;p0p19;1986;2084;992;j
DD;aptincj992;p0p19;1987;2159.1;992;j
DD;aptincj992;p0p19;1988;2242.3;992;j
DD;aptincj992;p0p19;1989;2323.9;992;j
DD;aptincj992;p0p19;1990;2013.6;992;j
DD;aptincj992;p0p96;1980;25733.5;992;j
DD;aptincj992;p0p96;1981;26139.9;992;j
DD;aptincj992;p0p96;1982;25700.3;992;j
DD;aptincj992;p0p96;1983;25714.1;992;j
DD;aptincj992;p0p96;1984;25890.7;992;j
DD;aptincj992;p0p96;1985;26215.7;992;j
DD;aptincj992;p0p96;1986;26245.6;992;j
DD;aptincj992;p0p96;1987;26455.3;992;j
DD;aptincj992;p0p96;1988;26745.6;992;j
DD;aptincj992;p0p96;1989;27719;992;j
DD;aptincj992;p0p96;1990;24024.8;992;j
DD;aptincj992;p61p100;1980;40508.4;992;j
DD;aptincj992;p61p100;1981;41197.9;992;j
DD;aptincj992;p61p100;1982;40553.7;992;j
DD;aptincj992;p61p100;1983;40622.7;992;j
DD;aptincj992;p61p100;1984;41178.2;992;j
DD;aptincj992;p61p100;1985;41977.5;992;j
DD;aptincj992;p61p100;1986;42068.2;992;j
DD;aptincj992;p61p100;1987;42446.5;992;j
DD;aptincj992;p61p100;1988;42955.4;992;j
DD;aptincj992;p61p100;1989;44522.4;992;j
DD;aptincj992;p61p100;1990;38586.4;992;j
DD;aptincj992;p0p67;1980;14110;992;j
DD;aptincj992;p0p67;1981;14379.1;992;j
DD;aptincj992;p0p67;1982;14182.5;992;j
DD;aptincj992;p0p67;1983;14235.4;992;j
DD;aptincj992;p0p67;1984;14306.7;992;j
DD;aptincj992;p0p67;1985;14459;992;j
DD;aptincj992;p0p67;1986;14502.8;992;j
DD;aptincj992;p0p67;1987;14646.1;992;j
DD;aptincj992;p0p67;1988;14835.1;992;j
DD;aptincj992;p0p67;1989;15375.1;992;j
DD;aptincj992;p0p67;1990;13325.6;992;j
DD;aptincj992;p99.96p99.97;1980;89207.3;992;j
DD;aptincj992;p99.96p99.97;1981;107412.5;992;j
DD;aptincj992;p99.96p99.97;1982;124554.2;992;j
DD;aptincj992;p99.96p99.97;1983;144991.4;992;j
DD;aptincj992;p99.96p99.97;1984;163298.6;992;j
DD;aptincj992;p99.96p99.97;1985;182807.8;992;j
DD;aptincj992;p99.96p99.97;1986;192105.2;992;j
DD;aptincj992;p99.96p99.97;1987;203704.5;992;j
DD;aptincj992;p99.96p99.97;1988;215540.6;992;j
DD;aptincj992;p99.96p99.97;1989;223488;992;j
DD;aptincj992;p99.96p99.97;1990;193694.1;992;j
DD;aptincj992;p0p58;1980;11192.9;992;j
DD;aptincj992;p0p58;1981;11432.7;992;j
DD;aptincj992;p0p58;1982;11302.1;992;j
DD;aptincj992;p0p58;1983;11370.2;992;j
DD;aptincj992;p0p58;1984;11428.8;992;j
DD;aptincj992;p0p58;1985;11551.9;992;j
DD;aptincj992;p0p58;1986;11592.9;992;j
DD;aptincj992;p0p58;1987;11713.4;992;j
DD;aptincj992;p0p58;1988;11870.6;992;j
DD;aptincj992;p0p58;1989;12302.7;992;j
DD;aptincj992;p0p58;1990;10662.5;992;j
DD;aptincj992;p10p100;1980;30429;992;j
DD;aptincj992;p10p100;1981;30948.3;992;j
DD;aptincj992;p10p100;1982;30465.4;992;j
DD;aptincj992;p10p100;1983;30519;992;j
DD;aptincj992;p10p100;1984;30804.9;992;j
DD;aptincj992;p10p100;1985;31269.4;992;j
DD;aptincj992;p10p100;1986;31286.3;992;j
DD;aptincj992;p10p100;1987;31517.2;992;j
DD;aptincj992;p10p100;1988;31845.9;992;j
DD;aptincj992;p10p100;1989;33006.6;992;j
DD;aptincj992;p10p100;1990;28606.6;992;j
DD;aptincj992;p25p26;1980;19301.7;992;j
DD;aptincj992;p25p26;1981;19621;992;j
DD;aptincj992;p25p26;1982;19305.9;992;j
DD;aptincj992;p25p26;1983;19329.3;992;j
DD;aptincj992;p25p26;1984;19301.8;992;j
DD;aptincj992;p25p26;1985;19379.3;992;j
DD;aptincj992;p25p26;1986;19275.7;992;j
DD;aptincj992;p25p26;1987;19302.3;992;j
DD;aptincj992;p25p26;1988;19391;992;j
DD;aptincj992;p25p26;1989;20097.6;992;j
DD;aptincj992;p25p26;1990;17419.8;992;j
DD;aptincj992;p59p100;1980;40064.10000000001;992;j
DD;aptincj992;p59p100;1981;40735.10000000001;992;j
DD;aptincj992;p59p100;1982;40087.5;992;j
DD;aptincj992;p59p100;1983;40144.9;992;j
DD;aptincj992;p59p100;1984;40678.9;992;j
DD;aptincj992;p59p100;1985;41453.2;992;j
DD;aptincj992;p59p100;1986;41541.4;992;j
DD;aptincj992;p59p100;1987;41913.5;992;j
DD;aptincj992;p59p100;1988;42414.7;992;j
DD;aptincj992;p59p100;1989;43961.9;992;j
DD;aptincj992;p59p100;1990;38100.8;992;j
DD;bcaincj992;p94p100;1980;1.1629022359848;992;j
DD;bcaincj992;p94p100;1981;1.19220221042633;992;j
DD;bcaincj992;p94p100;1982;1.22112238407135;992;j
DD;bcaincj992;p94p100;1983;1.24982619285583;992;j
DD;bcaincj992;p94p100;1984;1.27338111400604;992;j
DD;bcaincj992;p94p100;1985;1.29659926891327;992;j
DD;bcaincj992;p94p100;1986;1.31298530101776;992;j
DD;bcaincj992;p94p100;1987;1.32935762405396;992;j
DD;bcaincj992;p94p100;1988;1.34587979316711;992;j
DD;bcaincj992;p94p100;1989;1.34587979316711;992;j
DD;bcaincj992;p94p100;1990;1.3458799123764;992;j
DD;bcaincj992;p95p100;1980;1.15678942203522;992;j
DD;bcaincj992;p95p100;1981;1.18914806842804;992;j
DD;bcaincj992;p95p100;1982;1.22109770774841;992;j
DD;bcaincj992;p95p100;1983;1.25286257266998;992;j
DD;bcaincj992;p95p100;1984;1.27821290493011;992;j
DD;bcaincj992;p95p100;1985;1.30318915843964;992;j
DD;bcaincj992;p95p100;1986;1.32004356384277;992;j
DD;bcaincj992;p95p100;1987;1.33703601360321;992;j
DD;bcaincj992;p95p100;1988;1.35395169258118;992;j
DD;bcaincj992;p95p100;1989;1.35395181179047;992;j
DD;bcaincj992;p95p100;1990;1.35395181179047;992;j
DD;bcaincj992;p96p100;1980;1.14984726905823;992;j
DD;bcaincj992;p96p100;1981;1.18560135364532;992;j
DD;bcaincj992;p96p100;1982;1.22106862068176;992;j
DD;bcaincj992;p96p100;1983;1.25648677349091;992;j
DD;bcaincj992;p96p100;1984;1.28400409221649;992;j
DD;bcaincj992;p96p100;1985;1.31111288070679;992;j
DD;bcaincj992;p96p100;1986;1.32851934432983;992;j
DD;bcaincj992;p96p100;1987;1.3462495803833;992;j
DD;bcaincj992;p96p100;1988;1.36362171173096;992;j
DD;bcaincj992;p96p100;1989;1.36362171173096;992;j
DD;bcaincj992;p96p100;1990;1.36362183094025;992;j
DD;aptincj992;p88p100;1980;50410.5;992;j
DD;aptincj992;p88p100;1981;51763.9;992;j
DD;aptincj992;p88p100;1982;51445.9;992;j
DD;aptincj992;p88p100;1983;52022.9;992;j
DD;aptincj992;p88p100;1984;53287;992;j
DD;aptincj992;p88p100;1985;54879.7;992;j
DD;aptincj992;p88p100;1986;55238.2;992;j
DD;aptincj992;p88p100;1987;55974.3;992;j
DD;aptincj992;p88p100;1988;56888.60000000001;992;j
DD;aptincj992;p88p100;1989;58970.5;992;j
DD;aptincj992;p88p100;1990;51101.10000000001;992;j
DD;aptincj992;p53p100;1980;38827.7;992;j
DD;aptincj992;p53p100;1981;39445.7;992;j
DD;aptincj992;p53p100;1982;38786.6;992;j
DD;aptincj992;p53p100;1983;38810.3;992;j
DD;aptincj992;p53p100;1984;39293.5;992;j
DD;aptincj992;p53p100;1985;40008.10000000001;992;j
DD;aptincj992;p53p100;1986;40087.4;992;j
DD;aptincj992;p53p100;1987;40440.5;992;j
DD;aptincj992;p53p100;1988;40918.10000000001;992;j
DD;aptincj992;p53p100;1989;42410.3;992;j
DD;aptincj992;p53p100;1990;36756.5;992;j
DD;aptincj992;p50p100;1980;38242.6;992;j
DD;aptincj992;p50p100;1981;38837.1;992;j
DD;aptincj992;p50p100;1982;38174.2;992;j
DD;aptincj992;p50p100;1983;38183.5;992;j
DD;aptincj992;p50p100;1984;38648.5;992;j
DD;aptincj992;p50p100;1985;39340.8;992;j
DD;aptincj992;p50p100;1986;39416.3;992;j
DD;aptincj992;p50p100;1987;39761.10000000001;992;j
DD;aptincj992;p50p100;1988;40228;992;j
DD;aptincj992;p50p100;1989;41695;992;j
DD;aptincj992;p50p100;1990;36136.8;992;j
DD;aptincj992;p45p100;1980;37294.2;992;j
DD;aptincj992;p45p100;1981;37858.4;992;j
DD;aptincj992;p45p100;1982;37196.8;992;j
DD;aptincj992;p45p100;1983;37190.2;992;j
DD;aptincj992;p45p100;1984;37623.4;992;j
DD;aptincj992;p45p100;1985;38277.1;992;j
DD;aptincj992;p45p100;1986;38347.2;992;j
DD;aptincj992;p45p100;1987;38679.3;992;j
DD;aptincj992;p45p100;1988;39130.1;992;j
DD;aptincj992;p45p100;1989;40556.9;992;j
DD;aptincj992;p45p100;1990;35150.6;992;j
DD;aconfci992;p0p100;1950;1068.8;992;i
DD;aconfci992;p0p100;1955;1708;992;i
DD;aconfci992;p0p100;1960;2099.2;992;i
DD;aconfci992;p0p100;1961;2116.5;992;i
DD;aconfci992;p0p100;1962;2160.6;992;i
DD;aconfci992;p0p100;1963;2229.7;992;i
DD;aconfci992;p0p100;1964;2330.1;992;i
DD;aconfci992;p0p100;1965;2469.5;992;i
DD;aconfci992;p0p100;1966;2621.6;992;i
DD;aconfci992;p0p100;1967;2767.8;992;i
DD;aconfci992;p0p100;1968;2897.9;992;i
DD;aconfci992;p0p100;1969;2995.3;992;i
DD;aconfci992;p0p100;1970;3068.9;992;i
DD;aconfci992;p0p100;1971;3216.3;992;i
DD;aconfci992;p0p100;1972;3366.4;992;i
DD;aconfci992;p0p100;1973;3512.6;992;i
DD;aconfci992;p0p100;1974;3662.5;992;i
DD;aconfci992;p0p100;1975;3809.3;992;i
DD;aconfci992;p0p100;1976;3936;992;i
DD;aconfci992;p0p100;1977;4034.9;992;i
DD;aconfci992;p0p100;1978;4112.2;992;i
DD;aconfci992;p0p100;1979;4174.900000000001;992;i
