country;variable;percentile;year;value;age;pop
EH;npopulf001;p0p100;1950;1074;001;f
EH;npopulf001;p0p100;1951;1126;001;f
EH;npopulf001;p0p100;1952;1209;001;f
EH;npopulf001;p0p100;1953;1320;001;f
EH;npopulf001;p0p100;1954;1464;001;f
EH;npopulf001;p0p100;1955;1650;001;f
EH;npopulf001;p0p100;1956;1863;001;f
EH;npopulf001;p0p100;1957;2082;001;f
EH;npopulf001;p0p100;1958;2312;001;f
EH;npopulf001;p0p100;1959;2550;001;f
EH;npopulf001;p0p100;1960;2796;001;f
EH;npopulf001;p0p100;1961;3051;001;f
EH;npopulf001;p0p100;1962;3312;001;f
EH;npopulf001;p0p100;1963;3578;001;f
EH;npopulf001;p0p100;1964;3844;001;f
EH;npopulf001;p0p100;1965;4106;001;f
EH;npopulf001;p0p100;1966;4365;001;f
EH;npopulf001;p0p100;1967;4650;001;f
EH;npopulf001;p0p100;1968;4998;001;f
EH;npopulf001;p0p100;1969;5414;001;f
EH;npopulf001;p0p100;1970;5519;001;f
EH;npopulf001;p0p100;1971;5661;001;f
EH;npopulf001;p0p100;1972;6087;001;f
EH;npopulf001;p0p100;1973;6300;001;f
EH;npopulf001;p0p100;1974;6222;001;f
EH;npopulf001;p0p100;1975;5386;001;f
EH;npopulf001;p0p100;1976;5171;001;f
EH;npopulf001;p0p100;1977;5905;001;f
EH;npopulf001;p0p100;1978;6618;001;f
EH;npopulf001;p0p100;1979;7733;001;f
EH;npopulf001;p0p100;1980;9109;001;f
EH;npopulf001;p0p100;1981;10592;001;f
EH;npopulf001;p0p100;1982;12083;001;f
EH;npopulf001;p0p100;1983;13378;001;f
EH;npopulf001;p0p100;1984;14306;001;f
EH;npopulf001;p0p100;1985;14886;001;f
EH;npopulf001;p0p100;1986;15185;001;f
EH;npopulf001;p0p100;1987;15292;001;f
EH;npopulf001;p0p100;1988;15261;001;f
EH;npopulf001;p0p100;1989;15141;001;f
EH;npopulf001;p0p100;1990;14962;001;f
EH;npopulf001;p0p100;1991;14738;001;f
EH;npopulf001;p0p100;1992;14498;001;f
EH;npopulf001;p0p100;1993;14258;001;f
EH;npopulf001;p0p100;1994;14021;001;f
EH;npopulf001;p0p100;1995;13848;001;f
EH;npopulf001;p0p100;1996;13819;001;f
EH;npopulf001;p0p100;1997;13934;001;f
EH;npopulf001;p0p100;1998;14176;001;f
EH;npopulf001;p0p100;1999;14528;001;f
EH;npopulf001;p0p100;2000;14971;001;f
EH;npopulf001;p0p100;2001;15437;001;f
EH;npopulf001;p0p100;2002;15857;001;f
EH;npopulf001;p0p100;2003;16227;001;f
EH;npopulf001;p0p100;2004;16567;001;f
EH;npopulf001;p0p100;2005;16907;001;f
EH;npopulf001;p0p100;2006;17294;001;f
EH;npopulf001;p0p100;2007;17753;001;f
EH;npopulf001;p0p100;2008;18266;001;f
EH;npopulf001;p0p100;2009;18816;001;f
EH;npopulf001;p0p100;2010;19388;001;f
EH;npopulf001;p0p100;2011;19955;001;f
EH;npopulf001;p0p100;2012;20504;001;f
EH;npopulf001;p0p100;2013;21025;001;f
EH;npopulf001;p0p100;2014;21477;001;f
EH;npopulf001;p0p100;2015;21836;001;f
EH;npopulf001;p0p100;2016;22120;001;f
EH;npopulf001;p0p100;2017;22335;001;f
EH;npopulf001;p0p100;2018;22479;001;f
EH;npopulf001;p0p100;2019;22555;001;f
EH;npopulf001;p0p100;2020;22548;001;f
EH;npopulf001;p0p100;2021;22461;001;f
EH;npopulf001;p0p100;2022;22336;001;f
EH;npopulf001;p0p100;2023;22199;001;f
EH;npopuli001;p0p100;1950;2150;001;i
EH;npopuli001;p0p100;1951;2255;001;i
EH;npopuli001;p0p100;1952;2423;001;i
EH;npopuli001;p0p100;1953;2646;001;i
EH;npopuli001;p0p100;1954;2935;001;i
EH;npopuli001;p0p100;1955;3308;001;i
EH;npopuli001;p0p100;1956;3737;001;i
EH;npopuli001;p0p100;1957;4178;001;i
EH;npopuli001;p0p100;1958;4640;001;i
EH;npopuli001;p0p100;1959;5122;001;i
EH;npopuli001;p0p100;1960;5620;001;i
EH;npopuli001;p0p100;1961;6132;001;i
EH;npopuli001;p0p100;1962;6659;001;i
EH;npopuli001;p0p100;1963;7199;001;i
EH;npopuli001;p0p100;1964;7736;001;i
EH;npopuli001;p0p100;1965;8266;001;i
EH;npopuli001;p0p100;1966;8790;001;i
EH;npopuli001;p0p100;1967;9367;001;i
EH;npopuli001;p0p100;1968;10071;001;i
EH;npopuli001;p0p100;1969;10912;001;i
EH;npopuli001;p0p100;1970;11986;001;i
EH;npopuli001;p0p100;1971;12840;001;i
EH;npopuli001;p0p100;1972;13225;001;i
EH;npopuli001;p0p100;1973;13379;001;i
EH;npopuli001;p0p100;1974;13028;001;i
EH;npopuli001;p0p100;1975;11129;001;i
EH;npopuli001;p0p100;1976;10572;001;i
EH;npopuli001;p0p100;1977;12008;001;i
EH;npopuli001;p0p100;1978;13387;001;i
EH;npopuli001;p0p100;1979;15625;001;i
EH;npopuli001;p0p100;1980;18422;001;i
EH;npopuli001;p0p100;1981;21438;001;i
EH;npopuli001;p0p100;1982;24470;001;i
EH;npopuli001;p0p100;1983;27110;001;i
EH;npopuli001;p0p100;1984;29010;001;i
EH;npopuli001;p0p100;1985;30200;001;i
EH;npopuli001;p0p100;1986;30821;001;i
EH;npopuli001;p0p100;1987;31051;001;i
EH;npopuli001;p0p100;1988;31002;001;i
EH;npopuli001;p0p100;1989;30773;001;i
EH;npopuli001;p0p100;1990;30423;001;i
EH;npopuli001;p0p100;1991;29983;001;i
EH;npopuli001;p0p100;1992;29503;001;i
EH;npopuli001;p0p100;1993;29021;001;i
EH;npopuli001;p0p100;1994;28543;001;i
