country;variable;percentile;year;value;age;pop
FO;acomfci992;p0p100;2008;14871.2;992;i
FO;acomfci992;p0p100;2009;14651.3;992;i
FO;acomfci992;p0p100;2010;14621.8;992;i
FO;acomfci992;p0p100;2011;14822.5;992;i
FO;acomfci992;p0p100;2012;16393.2;992;i
FO;acomfci992;p0p100;2013;15258.3;992;i
FO;acomfci992;p0p100;2014;13913.5;992;i
FO;acomfci992;p0p100;2015;13477.7;992;i
FO;acomfci992;p0p100;2016;12395.8;992;i
FO;acomfci992;p0p100;2017;11173.2;992;i
FO;acomfci992;p0p100;2018;11512.7;992;i
FO;acomfci992;p0p100;2019;12495.9;992;i
FO;acomfci992;p0p100;2020;11940.4;992;i
FO;acomfci992;p0p100;2021;11147.5;992;i
FO;acfcfci992;p0p100;2008;1957.4;992;i
FO;acfcfci992;p0p100;2009;1975.2;992;i
FO;acfcfci992;p0p100;2010;2022.1;992;i
FO;acfcfci992;p0p100;2011;2052.6;992;i
FO;acfcfci992;p0p100;2012;2149.4;992;i
FO;acfcfci992;p0p100;2013;2240;992;i
FO;acfcfci992;p0p100;2014;2333.8;992;i
FO;acfcfci992;p0p100;2015;2396.7;992;i
FO;acfcfci992;p0p100;2016;2431;992;i
FO;acfcfci992;p0p100;2017;2461.4;992;i
FO;acfcfci992;p0p100;2018;2488.9;992;i
FO;acfcfci992;p0p100;2019;2516.3;992;i
FO;acfcfci992;p0p100;2020;2554.2;992;i
FO;acfcfci992;p0p100;2021;2611;992;i
FO;acompxi992;p0p100;2008;8686.300000000001;992;i
FO;acompxi992;p0p100;2009;6858.400000000001;992;i
FO;acompxi992;p0p100;2010;6598;992;i
FO;acompxi992;p0p100;2011;7019.5;992;i
FO;acompxi992;p0p100;2012;18077.9;992;i
FO;acompxi992;p0p100;2013;18724.6;992;i
FO;acompxi992;p0p100;2014;17027.5;992;i
FO;acompxi992;p0p100;2015;20697.1;992;i
FO;acompxi992;p0p100;2016;16387.9;992;i
FO;acompxi992;p0p100;2017;16474;992;i
FO;acompxi992;p0p100;2018;15939.5;992;i
FO;acompxi992;p0p100;2019;18529.5;992;i
FO;acompxi992;p0p100;2020;14644.3;992;i
FO;acompxi992;p0p100;2021;12442.6;992;i
FO;acomfci999;p0p100;2008;10393;999;i
FO;acomfci999;p0p100;2009;10286.4;999;i
FO;acomfci999;p0p100;2010;10339.5;999;i
FO;acomfci999;p0p100;2011;10547.6;999;i
FO;acomfci999;p0p100;2012;11701;999;i
FO;acomfci999;p0p100;2013;10903.1;999;i
FO;acomfci999;p0p100;2014;9951.7;999;i
FO;acomfci999;p0p100;2015;9681.7;999;i
FO;acomfci999;p0p100;2016;8952;999;i
FO;acomfci999;p0p100;2017;8089.3;999;i
FO;acomfci999;p0p100;2018;8333.1;999;i
FO;acomfci999;p0p100;2019;9030.4;999;i
FO;acomfci999;p0p100;2020;8633.300000000001;999;i
FO;acomfci999;p0p100;2021;8061.6;999;i
FO;acomgoi992;p0p100;2008;115198.7;992;i
FO;acomgoi992;p0p100;2009;118878;992;i
FO;acomgoi992;p0p100;2010;114283.4;992;i
FO;acomgoi992;p0p100;2011;116163.6;992;i
FO;acomgoi992;p0p100;2012;119985.8;992;i
FO;acomgoi992;p0p100;2013;122306.9;992;i
FO;acomgoi992;p0p100;2014;122674.5;992;i
FO;acomgoi992;p0p100;2015;119728.7;992;i
FO;acomgoi992;p0p100;2016;115834.9;992;i
FO;acomgoi992;p0p100;2017;118062.7;992;i
FO;acomgoi992;p0p100;2018;122911.1;992;i
FO;acomgoi992;p0p100;2019;123962.9;992;i
