country;variable;percentile;year;value;age;pop
GU;aconfci999;p0p100;2002;4937.400000000001;999;i
GU;aconfci999;p0p100;2003;5045.400000000001;999;i
GU;aconfci999;p0p100;2004;5155.3;999;i
GU;aconfci999;p0p100;2005;5239.700000000001;999;i
GU;aconfci999;p0p100;2006;5287;999;i
GU;aconfci999;p0p100;2007;5322.6;999;i
GU;aconfci999;p0p100;2008;5361.3;999;i
GU;aconfci999;p0p100;2009;5406;999;i
GU;aconfci999;p0p100;2010;5467.5;999;i
GU;aconfci999;p0p100;2011;5551;999;i
GU;aconfci999;p0p100;2012;5654.400000000001;999;i
GU;aconfci999;p0p100;2013;5766.6;999;i
GU;aconfci999;p0p100;2014;5874.8;999;i
GU;aconfci999;p0p100;2015;5965.200000000001;999;i
GU;aconfci999;p0p100;2016;6027.200000000001;999;i
GU;aconfci999;p0p100;2017;6052;999;i
GU;aconfci999;p0p100;2018;6030.400000000001;999;i
GU;aconfci999;p0p100;2019;5963.5;999;i
GU;aconfci999;p0p100;2020;5810.200000000001;999;i
GU;aconfci999;p0p100;2021;5637.900000000001;999;i
GU;aconfci999;p0p100;2022;5509;999;i
GU;aconfci999;p0p100;2023;5405.1;999;i
GU;agwdebi999;p0p100;2002;28785.6;999;i
GU;agwdebi999;p0p100;2003;29668.1;999;i
GU;agwdebi999;p0p100;2004;32450.1;999;i
GU;agwdebi999;p0p100;2005;34648.6;999;i
GU;agwdebi999;p0p100;2006;32537.1;999;i
GU;agwdebi999;p0p100;2007;32731.6;999;i
GU;agwdebi999;p0p100;2008;36583.2;999;i
GU;agwdebi999;p0p100;2009;43040.8;999;i
GU;agwdebi999;p0p100;2010;46902.2;999;i
GU;agwdebi999;p0p100;2011;48970.60000000001;999;i
GU;agwdebi999;p0p100;2012;51065.7;999;i
GU;agwdebi999;p0p100;2013;53150.4;999;i
GU;agwdebi999;p0p100;2014;54347.7;999;i
GU;agwdebi999;p0p100;2015;55648.7;999;i
GU;agwdebi999;p0p100;2016;57431.7;999;i
GU;agwdebi999;p0p100;2017;57457.7;999;i
GU;agwdebi999;p0p100;2018;56859.4;999;i
GU;agwdebi999;p0p100;2019;59912.60000000001;999;i
GU;agwdebi999;p0p100;2020;58921.3;999;i
GU;agwdebi999;p0p100;2021;58637.60000000001;999;i
GU;agwdebi999;p0p100;2022;55503.2;999;i
GU;agwdebi999;p0p100;2023;54976.4;999;i
GU;ahweali992;p0p100;2002;45462.7;992;i
GU;ahweali992;p0p100;2003;48264.1;992;i
GU;ahweali992;p0p100;2004;54613.5;992;i
GU;ahweali992;p0p100;2005;59951.6;992;i
GU;ahweali992;p0p100;2006;60473.1;992;i
GU;ahweali992;p0p100;2007;63978.4;992;i
GU;ahweali992;p0p100;2008;68339.5;992;i
GU;ahweali992;p0p100;2009;71267.2;992;i
GU;ahweali992;p0p100;2010;75464.8;992;i
GU;ahweali992;p0p100;2011;77662.3;992;i
GU;ahweali992;p0p100;2012;81721.2;992;i
GU;ahweali992;p0p100;2013;85588.8;992;i
GU;ahweali992;p0p100;2014;89859.3;992;i
GU;ahweali992;p0p100;2015;93481.3;992;i
GU;ahweali992;p0p100;2016;96708.6;992;i
GU;ahweali992;p0p100;2017;101059.2;992;i
GU;ahweali992;p0p100;2018;103799.2;992;i
GU;ahweali992;p0p100;2019;111081.7;992;i
GU;ahweali992;p0p100;2020;100064.9;992;i
GU;ahweali992;p0p100;2021;104381.3;992;i
GU;agweali992;p0p100;2002;12146.5;992;i
GU;agweali992;p0p100;2003;11974.4;992;i
GU;agweali992;p0p100;2004;12234;992;i
GU;agweali992;p0p100;2005;13152.7;992;i
GU;agweali992;p0p100;2006;15199.2;992;i
GU;agweali992;p0p100;2007;17379.4;992;i
GU;agweali992;p0p100;2008;13521.7;992;i
GU;agweali992;p0p100;2009;5205.1;992;i
GU;agweali992;p0p100;2010;-1392.6;992;i
GU;agweali992;p0p100;2011;-5498.700000000001;992;i
GU;agweali992;p0p100;2012;-8408.6;992;i
GU;agweali992;p0p100;2013;-9517.5;992;i
GU;agweali992;p0p100;2014;-10155.7;992;i
GU;agweali992;p0p100;2015;-11370.5;992;i
GU;agweali992;p0p100;2016;-12569.7;992;i
GU;agweali992;p0p100;2017;-11071.8;992;i
GU;agweali992;p0p100;2018;-9919.2;992;i
GU;agweali992;p0p100;2019;-10801;992;i
GU;agweali992;p0p100;2020;-12335.8;992;i
GU;agweali992;p0p100;2021;-12383.5;992;i
GU;agweali992;p0p100;2022;-8252.800000000001;992;i
GU;agweali992;p0p100;2023;-6762.400000000001;992;i
GU;agweali999;p0p100;2002;7503.900000000001;999;i
GU;agweali999;p0p100;2003;7410.6;999;i
GU;agweali999;p0p100;2004;7590;999;i
GU;agweali999;p0p100;2005;8186.200000000001;999;i
GU;agweali999;p0p100;2006;9494.2;999;i
GU;agweali999;p0p100;2007;10895.4;999;i
GU;agweali999;p0p100;2008;8505.4;999;i
GU;agweali999;p0p100;2009;3283.6;999;i
GU;agweali999;p0p100;2010;-882.4000000000001;999;i
GU;agweali999;p0p100;2011;-3509.4;999;i
GU;agweali999;p0p100;2012;-5409.700000000001;999;i
GU;agweali999;p0p100;2013;-6171.5;999;i
GU;agweali999;p0p100;2014;-6634.5;999;i
GU;agweali999;p0p100;2015;-7478;999;i
GU;agweali999;p0p100;2016;-8314.5;999;i
GU;agweali999;p0p100;2017;-7358.1;999;i
GU;agweali999;p0p100;2018;-6614.6;999;i
GU;agweali999;p0p100;2019;-7217.900000000001;999;i
GU;agweali999;p0p100;2020;-8249.1;999;i
GU;agweali999;p0p100;2021;-8279.1;999;i
GU;agweali999;p0p100;2022;-5515.900000000001;999;i
GU;agweali999;p0p100;2023;-4519.2;999;i
GU;agdproi992;p0p100;2002;58144.3;992;i
GU;agdproi992;p0p100;2003;58257.60000000001;992;i
GU;agdproi992;p0p100;2004;61633.5;992;i
GU;agdproi992;p0p100;2005;63458.2;992;i
GU;agdproi992;p0p100;2006;60744.9;992;i
GU;agdproi992;p0p100;2007;60802.10000000001;992;i
GU;agdproi992;p0p100;2008;61672.5;992;i
GU;agdproi992;p0p100;2009;61585.5;992;i
GU;agdproi992;p0p100;2010;62567;992;i
GU;agdproi992;p0p100;2011;62161.3;992;i
GU;agdproi992;p0p100;2012;63061.8;992;i
GU;agdproi992;p0p100;2013;63764.2;992;i
GU;agdproi992;p0p100;2014;64614;992;i
GU;agdproi992;p0p100;2015;64940.3;992;i
GU;agdproi992;p0p100;2016;64948.9;992;i
GU;agdproi992;p0p100;2017;65517.4;992;i
GU;agdproi992;p0p100;2018;65099.5;992;i
GU;agdproi992;p0p100;2019;67007.1;992;i
GU;agdproi992;p0p100;2020;59205.9;992;i
GU;agdproi992;p0p100;2021;59271.10000000001;992;i
GU;agdproi992;p0p100;2022;59388.8;992;i
GU;agdproi992;p0p100;2023;59547.9;992;i
GU;agdproi999;p0p100;2002;35920.8;999;i
GU;agdproi999;p0p100;2003;36054;999;i
GU;agdproi999;p0p100;2004;38237.5;999;i
GU;agdproi999;p0p100;2005;39496.5;999;i
GU;agdproi999;p0p100;2006;37944.4;999;i
GU;agdproi999;p0p100;2007;38117.6;999;i
GU;agdproi999;p0p100;2008;38793.1;999;i
GU;agdproi999;p0p100;2009;38850.8;999;i
GU;agdproi999;p0p100;2010;39646.8;999;i
GU;agdproi999;p0p100;2011;39672.5;999;i
GU;agdproi999;p0p100;2012;40570.8;999;i
GU;agdproi999;p0p100;2013;41347.3;999;i
GU;agdproi999;p0p100;2014;42210.8;999;i
GU;agdproi999;p0p100;2015;42709.2;999;i
GU;agdproi999;p0p100;2016;42962.10000000001;999;i
GU;agdproi999;p0p100;2017;43541.5;999;i
GU;agdproi999;p0p100;2018;43411.8;999;i
GU;agdproi999;p0p100;2019;44778.3;999;i
GU;agdproi999;p0p100;2020;39591.4;999;i
GU;agdproi999;p0p100;2021;39626.2;999;i
GU;agdproi999;p0p100;2022;39693.9;999;i
GU;agdproi999;p0p100;2023;39794.4;999;i
GU;ancanxi992;p0p100;2002;0;992;i
GU;ancanxi992;p0p100;2003;0;992;i
GU;ancanxi992;p0p100;2004;0;992;i
GU;ancanxi992;p0p100;2005;0;992;i
GU;ancanxi992;p0p100;2006;0;992;i
GU;ancanxi992;p0p100;2007;0;992;i
GU;ancanxi992;p0p100;2008;0;992;i
GU;ancanxi992;p0p100;2009;0;992;i
GU;ancanxi992;p0p100;2010;0;992;i
GU;ancanxi992;p0p100;2011;0;992;i
GU;ancanxi992;p0p100;2012;0;992;i
GU;ancanxi992;p0p100;2013;0;992;i
GU;ancanxi992;p0p100;2014;0;992;i
GU;ancanxi992;p0p100;2015;0;992;i
GU;ancanxi992;p0p100;2016;0;992;i
GU;ancanxi992;p0p100;2017;0;992;i
GU;ancanxi992;p0p100;2018;0;992;i
GU;ancanxi992;p0p100;2019;0;992;i
GU;ancanxi992;p0p100;2020;0;992;i
GU;ancanxi992;p0p100;2021;0;992;i
GU;ancanxi992;p0p100;2022;0;992;i
GU;ancanxi992;p0p100;2023;0;992;i
GU;agninci999;p0p100;2002;35920.8;999;i
GU;agninci999;p0p100;2003;36054;999;i
GU;agninci999;p0p100;2004;38237.5;999;i
GU;agninci999;p0p100;2005;39496.5;999;i
GU;agninci999;p0p100;2006;37944.4;999;i
GU;agninci999;p0p100;2007;38117.6;999;i
GU;agninci999;p0p100;2008;38793.1;999;i
GU;agninci999;p0p100;2009;38850.8;999;i
