country;variable;percentile;year;value;age;pop
MF;aconfci992;p0p100;2014;3651.5;992;i
MF;aconfci992;p0p100;2015;3611.6;992;i
MF;aconfci992;p0p100;2016;3561.3;992;i
MF;aconfci992;p0p100;2017;3502.1;992;i
MF;aconfci992;p0p100;2018;3424.2;992;i
MF;aconfci992;p0p100;2019;3300.9;992;i
MF;aconfci992;p0p100;2020;3371.7;992;i
MF;aconfci992;p0p100;2021;3465.7;992;i
MF;aconfci992;p0p100;2022;3318.5;992;i
MF;aconfci992;p0p100;2023;3219.6;992;i
MF;agdproi999;p0p100;2014;18577.7;999;i
MF;agdproi999;p0p100;2015;18471.2;999;i
MF;agdproi999;p0p100;2016;18421.3;999;i
MF;agdproi999;p0p100;2017;18443.9;999;i
MF;agdproi999;p0p100;2018;18717.8;999;i
MF;agdproi999;p0p100;2019;19515.9;999;i
MF;agdproi999;p0p100;2020;19565.1;999;i
MF;agdproi999;p0p100;2021;19302.6;999;i
MF;agdproi999;p0p100;2022;18386.9;999;i
MF;agdproi999;p0p100;2023;17708;999;i
MF;anweali999;p0p100;2014;36696.5;999;i
MF;anweali999;p0p100;2015;37885.1;999;i
MF;anweali999;p0p100;2016;39207.6;999;i
MF;anweali999;p0p100;2017;40852.2;999;i
MF;anweali999;p0p100;2018;43144.4;999;i
MF;anweali999;p0p100;2019;45870.60000000001;999;i
MF;anweali999;p0p100;2020;45212.4;999;i
MF;anweali999;p0p100;2021;44640;999;i
MF;anweali999;p0p100;2022;42815.10000000001;999;i
MF;andproi992;p0p100;2014;24599.3;992;i
MF;andproi992;p0p100;2015;24337.1;992;i
MF;andproi992;p0p100;2016;24034.3;992;i
MF;andproi992;p0p100;2017;23782.6;992;i
MF;andproi992;p0p100;2018;23597.8;992;i
MF;andproi992;p0p100;2019;23364.9;992;i
MF;andproi992;p0p100;2020;23141.6;992;i
MF;andproi992;p0p100;2021;23543.6;992;i
MF;andproi992;p0p100;2022;22324.2;992;i
MF;andproi992;p0p100;2023;21503.1;992;i
MF;ancanxi999;p0p100;2014;0;999;i
MF;ancanxi999;p0p100;2015;0;999;i
MF;ancanxi999;p0p100;2016;0;999;i
MF;ancanxi999;p0p100;2017;0;999;i
MF;ancanxi999;p0p100;2018;0;999;i
MF;ancanxi999;p0p100;2019;0;999;i
MF;ancanxi999;p0p100;2020;0;999;i
MF;ancanxi999;p0p100;2021;0;999;i
MF;ancanxi999;p0p100;2022;0;999;i
MF;ancanxi999;p0p100;2023;0;999;i
MF;mgdproi999;p0p100;2014;695732971;999;i
MF;mgdproi999;p0p100;2015;690250661;999;i
MF;mgdproi999;p0p100;2016;684812847;999;i
MF;mgdproi999;p0p100;2017;679416638;999;i
MF;mgdproi999;p0p100;2018;674064179;999;i
MF;mgdproi999;p0p100;2019;668752595;999;i
MF;mgdproi999;p0p100;2020;621896569;999;i
MF;mgdproi999;p0p100;2021;578324559;999;i
MF;mgdproi999;p0p100;2022;530830044;999;i
MF;mgdproi999;p0p100;2023;487235040;999;i
MF;aconfci999;p0p100;2014;2401.2;999;i
MF;aconfci999;p0p100;2015;2386.9;999;i
MF;aconfci999;p0p100;2016;2377.4;999;i
MF;aconfci999;p0p100;2017;2367.3;999;i
MF;aconfci999;p0p100;2018;2371.9;999;i
MF;aconfci999;p0p100;2019;2415.9;999;i
