country;variable;percentile;year;value;age;pop
MP;aconfci992;p0p100;2002;6257.8;992;i
MP;aconfci992;p0p100;2003;6033.6;992;i
MP;aconfci992;p0p100;2004;5780.5;992;i
MP;aconfci992;p0p100;2005;5467.8;992;i
MP;aconfci992;p0p100;2006;5124.6;992;i
MP;aconfci992;p0p100;2007;4773.7;992;i
MP;aconfci992;p0p100;2008;4446;992;i
MP;aconfci992;p0p100;2009;4198.6;992;i
MP;aconfci992;p0p100;2010;4026.4;992;i
MP;aconfci992;p0p100;2011;3912.1;992;i
MP;aconfci992;p0p100;2012;3941.2;992;i
MP;aconfci992;p0p100;2013;4144.400000000001;992;i
MP;aconfci992;p0p100;2014;4524.7;992;i
MP;aconfci992;p0p100;2015;5054.700000000001;992;i
MP;aconfci992;p0p100;2016;5615.200000000001;992;i
MP;aconfci992;p0p100;2017;5883.900000000001;992;i
MP;aconfci992;p0p100;2018;5561.700000000001;992;i
MP;aconfci992;p0p100;2019;4724.2;992;i
MP;aconfci992;p0p100;2020;3601.5;992;i
MP;aconfci992;p0p100;2021;2556.4;992;i
MP;aconfci992;p0p100;2022;1759.3;992;i
MP;aconfci992;p0p100;2023;1191.7;992;i
MP;aconfci999;p0p100;2002;4411.900000000001;999;i
MP;aconfci999;p0p100;2003;4216;999;i
MP;aconfci999;p0p100;2004;4004;999;i
MP;aconfci999;p0p100;2005;3755.2;999;i
MP;aconfci999;p0p100;2006;3489.7;999;i
MP;aconfci999;p0p100;2007;3221.4;999;i
MP;aconfci999;p0p100;2008;2970.5;999;i
MP;aconfci999;p0p100;2009;2774.6;999;i
MP;aconfci999;p0p100;2010;2641.1;999;i
MP;aconfci999;p0p100;2011;2565.9;999;i
MP;aconfci999;p0p100;2012;2596.2;999;i
MP;aconfci999;p0p100;2013;2747.1;999;i
MP;aconfci999;p0p100;2014;3020;999;i
MP;aconfci999;p0p100;2015;3395.9;999;i
MP;aconfci999;p0p100;2016;3793.7;999;i
MP;aconfci999;p0p100;2017;3993.3;999;i
MP;aconfci999;p0p100;2018;3787.6;999;i
MP;aconfci999;p0p100;2019;3225;999;i
MP;aconfci999;p0p100;2020;2463.3;999;i
MP;aconfci999;p0p100;2021;1750.9;999;i
MP;aconfci999;p0p100;2022;1207.3;999;i
MP;aconfci999;p0p100;2023;820.5;999;i
MP;agdproi992;p0p100;2002;44299.7;992;i
MP;agdproi992;p0p100;2003;45781;992;i
MP;agdproi992;p0p100;2004;45799.60000000001;992;i
MP;agdproi992;p0p100;2005;41348.5;992;i
MP;agdproi992;p0p100;2006;39907;992;i
MP;agdproi992;p0p100;2007;38687.9;992;i
MP;agdproi992;p0p100;2008;35838.9;992;i
MP;agdproi992;p0p100;2009;30852.2;992;i
MP;agdproi992;p0p100;2010;32235.1;992;i
MP;agdproi992;p0p100;2011;30126.5;992;i
MP;agdproi992;p0p100;2012;30452.1;992;i
MP;agdproi992;p0p100;2013;31355.3;992;i
MP;agdproi992;p0p100;2014;32800.2;992;i
MP;agdproi992;p0p100;2015;34122.6;992;i
MP;agdproi992;p0p100;2016;44483.9;992;i
MP;agdproi992;p0p100;2017;55432.7;992;i
MP;agdproi992;p0p100;2018;45399.5;992;i
MP;agdproi992;p0p100;2019;40953.5;992;i
MP;agdproi992;p0p100;2020;29107.3;992;i
MP;agdproi992;p0p100;2021;20678.5;992;i
MP;agdproi992;p0p100;2022;14796.7;992;i
MP;agdproi992;p0p100;2023;10584.3;992;i
MP;agdproi999;p0p100;2002;31232.3;999;i
MP;agdproi999;p0p100;2003;31989.5;999;i
MP;agdproi999;p0p100;2004;31724;999;i
MP;agdproi999;p0p100;2005;28397.7;999;i
MP;agdproi999;p0p100;2006;27175;999;i
MP;agdproi999;p0p100;2007;26107.7;999;i
MP;agdproi999;p0p100;2008;23945.3;999;i
MP;agdproi999;p0p100;2009;20388.4;999;i
MP;agdproi999;p0p100;2010;21144.6;999;i
MP;agdproi999;p0p100;2011;19759.7;999;i
MP;agdproi999;p0p100;2012;20059.8;999;i
MP;agdproi999;p0p100;2013;20783.5;999;i
MP;agdproi999;p0p100;2014;21892.4;999;i
MP;agdproi999;p0p100;2015;22924.8;999;i
MP;agdproi999;p0p100;2016;30054;999;i
MP;agdproi999;p0p100;2017;37620.9;999;i
MP;agdproi999;p0p100;2018;30917.6;999;i
MP;agdproi999;p0p100;2019;27957.5;999;i
MP;agdproi999;p0p100;2020;19908.1;999;i
MP;agdproi999;p0p100;2021;14162.8;999;i
MP;agdproi999;p0p100;2022;10153.9;999;i
MP;agdproi999;p0p100;2023;7288;999;i
MP;agninci992;p0p100;2002;44299.7;992;i
MP;agninci992;p0p100;2003;45781;992;i
MP;agninci992;p0p100;2004;45799.60000000001;992;i
MP;agninci992;p0p100;2005;41348.5;992;i
MP;agninci992;p0p100;2006;39907;992;i
MP;agninci992;p0p100;2007;38687.9;992;i
MP;agninci992;p0p100;2008;35838.9;992;i
MP;agninci992;p0p100;2009;30852.2;992;i
MP;agninci992;p0p100;2010;32235.1;992;i
MP;agninci992;p0p100;2011;30126.5;992;i
MP;agninci992;p0p100;2012;30452.1;992;i
MP;agninci992;p0p100;2013;31355.3;992;i
MP;agninci992;p0p100;2014;32800.2;992;i
MP;agninci992;p0p100;2015;34122.6;992;i
MP;agninci992;p0p100;2016;44483.9;992;i
MP;agninci992;p0p100;2017;55432.7;992;i
MP;agninci992;p0p100;2018;45399.5;992;i
MP;agninci992;p0p100;2019;40953.5;992;i
MP;agninci992;p0p100;2020;29107.3;992;i
MP;agninci992;p0p100;2021;20678.6;992;i
MP;agninci992;p0p100;2022;14796.7;992;i
MP;agninci992;p0p100;2023;10584.3;992;i
MP;anweali992;p0p100;2002;171118.1;992;i
MP;anweali992;p0p100;2003;180400.6;992;i
MP;anweali992;p0p100;2004;191499;992;i
MP;anweali992;p0p100;2005;179766.8;992;i
MP;anweali992;p0p100;2006;180353.4;992;i
MP;anweali992;p0p100;2007;180236.6;992;i
MP;anweali992;p0p100;2008;151359.8;992;i
MP;anweali992;p0p100;2009;118381;992;i
MP;anweali992;p0p100;2010;122945.3;992;i
MP;anweali992;p0p100;2011;111494.9;992;i
MP;anweali992;p0p100;2012;111114.2;992;i
MP;anweali992;p0p100;2013;121607.1;992;i
MP;anweali992;p0p100;2014;133063.8;992;i
MP;anweali992;p0p100;2015;140554.7;992;i
MP;anweali992;p0p100;2016;193070;992;i
MP;anweali992;p0p100;2017;258164;992;i
MP;anweali992;p0p100;2018;208266;992;i
MP;anweali992;p0p100;2019;194248.6;992;i
MP;anweali992;p0p100;2020;157501.6;992;i
MP;anweali992;p0p100;2021;116244.2;992;i
MP;anweali992;p0p100;2022;81432.3;992;i
MP;anweali992;p0p100;2023;56578.3;992;i
MP;agwdebi992;p0p100;2002;35343.5;992;i
MP;agwdebi992;p0p100;2003;38029;992;i
MP;agwdebi992;p0p100;2004;39254.5;992;i
MP;agwdebi992;p0p100;2005;36291;992;i
MP;agwdebi992;p0p100;2006;34654.2;992;i
MP;agwdebi992;p0p100;2007;33848.7;992;i
MP;agwdebi992;p0p100;2008;34352;992;i
MP;agwdebi992;p0p100;2009;34301;992;i
MP;agwdebi992;p0p100;2010;38709;992;i
MP;agwdebi992;p0p100;2011;37622.4;992;i
MP;agwdebi992;p0p100;2012;38772.5;992;i
MP;agwdebi992;p0p100;2013;40647.5;992;i
MP;agwdebi992;p0p100;2014;42291.8;992;i
MP;agwdebi992;p0p100;2015;44023.4;992;i
MP;agwdebi992;p0p100;2016;60438.8;992;i
MP;agwdebi992;p0p100;2017;75940.1;992;i
MP;agwdebi992;p0p100;2018;60595.7;992;i
MP;agwdebi992;p0p100;2019;55921.8;992;i
MP;agwdebi992;p0p100;2020;44487.3;992;i
MP;agwdebi992;p0p100;2021;31264.9;992;i
MP;agwdebi992;p0p100;2022;21167.7;992;i
MP;agwdebi992;p0p100;2023;15015.5;992;i
MP;agwdebi999;p0p100;2002;24917.9;999;i
MP;agwdebi999;p0p100;2003;26572.8;999;i
MP;agwdebi999;p0p100;2004;27190.4;999;i
MP;agwdebi999;p0p100;2005;24924.2;999;i
MP;agwdebi999;p0p100;2006;23598.1;999;i
MP;agwdebi999;p0p100;2007;22842;999;i
MP;agwdebi999;p0p100;2008;22951.8;999;i
MP;agwdebi999;p0p100;2009;22667.5;999;i
MP;agwdebi999;p0p100;2010;25391.2;999;i
MP;agwdebi999;p0p100;2011;24676.2;999;i
MP;agwdebi999;p0p100;2012;25540.7;999;i
MP;agwdebi999;p0p100;2013;26942.7;999;i
MP;agwdebi999;p0p100;2014;28227.5;999;i
MP;agwdebi999;p0p100;2015;29576.5;999;i
MP;agwdebi999;p0p100;2016;40833.4;999;i
MP;agwdebi999;p0p100;2017;51538.7;999;i
MP;agwdebi999;p0p100;2018;41266.4;999;i
MP;agwdebi999;p0p100;2019;38175.9;999;i
MP;agwdebi999;p0p100;2020;30427.3;999;i
MP;agwdebi999;p0p100;2021;21413.4;999;i
MP;agwdebi999;p0p100;2022;14525.9;999;i
MP;agwdebi999;p0p100;2023;10339.2;999;i
MP;agweali992;p0p100;2002;9213.4;992;i
