country;variable;percentile;year;value;age;pop
OH-MER;mhweali999;p0p100;1995;125885603920;999;i
OH-MER;mhweali999;p0p100;1996;133058730752;999;i
OH-MER;mhweali999;p0p100;1997;137160709936;999;i
OH-MER;mhweali999;p0p100;1998;143802351600;999;i
OH-MER;mhweali999;p0p100;1999;154440992160;999;i
OH-MER;mhweali999;p0p100;2000;166646292432;999;i
OH-MER;mhweali999;p0p100;2001;168608094128;999;i
OH-MER;mhweali999;p0p100;2002;164947044736;999;i
OH-MER;mhweali999;p0p100;2003;177883874480;999;i
OH-MER;mhweali999;p0p100;2004;187733865728;999;i
OH-MER;mhweali999;p0p100;2005;205892423184;999;i
OH-MER;mhweali999;p0p100;2006;212509013872;999;i
OH-MER;mhweali999;p0p100;2007;227355950608;999;i
OH-MER;mhweali999;p0p100;2008;212327350624;999;i
OH-MER;mhweali999;p0p100;2009;206684309920;999;i
OH-MER;mhweali999;p0p100;2010;214269816400;999;i
OH-MER;mhweali999;p0p100;2011;200843409936;999;i
OH-MER;mhweali999;p0p100;2012;212698008848;999;i
OH-MER;mhweali999;p0p100;2013;227882678144;999;i
OH-MER;mhweali999;p0p100;2014;253257460320;999;i
OH-MER;mhweali999;p0p100;2015;268009199520;999;i
OH-MER;mhweali999;p0p100;2016;276555602144;999;i
OH-MER;mhweali999;p0p100;2017;291049248736;999;i
OH-MER;mhweali999;p0p100;2018;297681899200;999;i
OH-MER;mhweali999;p0p100;2019;304692932352;999;i
OH-MER;mhweali999;p0p100;2020;327070885568;999;i
OH-MER;mhweali999;p0p100;2021;332879304576;999;i
OH-MER;mhweali999;p0p100;2022;318600253376;999;i
OH-MER;mhweali999;p0p100;2023;320639986688;999;i
OH-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
OH-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
OH-MER;inyixxi999;p0p100;1972;0.1724123805761337;999;i
OH-MER;inyixxi999;p0p100;1973;0.1841626167297363;999;i
OH-MER;inyixxi999;p0p100;1974;0.200347051024437;999;i
OH-MER;inyixxi999;p0p100;1975;0.2186037451028824;999;i
OH-MER;inyixxi999;p0p100;1976;0.233672022819519;999;i
OH-MER;inyixxi999;p0p100;1977;0.2487370222806931;999;i
OH-MER;inyixxi999;p0p100;1978;0.2643983066082001;999;i
OH-MER;inyixxi999;p0p100;1979;0.2823651731014252;999;i
OH-MER;inyixxi999;p0p100;1980;0.3052763938903809;999;i
OH-MER;inyixxi999;p0p100;1981;0.330408126115799;999;i
OH-MER;inyixxi999;p0p100;1982;0.3578794002532959;999;i
OH-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
OH-MER;inyixxi999;p0p100;1984;0.4020309448242188;999;i
OH-MER;inyixxi999;p0p100;1985;0.4197813868522644;999;i
OH-MER;inyixxi999;p0p100;1986;0.4382108151912689;999;i
OH-MER;inyixxi999;p0p100;1987;0.4487565457820892;999;i
OH-MER;inyixxi999;p0p100;1988;0.4635440111160278;999;i
OH-MER;inyixxi999;p0p100;1989;0.4821927845478058;999;i
OH-MER;inyixxi999;p0p100;1990;0.5036841630935669;999;i
OH-MER;inyixxi999;p0p100;1991;0.5256145000457764;999;i
OH-MER;inyixxi999;p0p100;1992;0.5506653189659119;999;i
OH-MER;inyixxi999;p0p100;1993;0.5710884928703308;999;i
