country;variable;percentile;year;value;age;pop
OL;npopulf001;p0p100;1950;2040904;001;f
OL;npopulf001;p0p100;1951;2037364;001;f
OL;npopulf001;p0p100;1952;2021151;001;f
OL;npopulf001;p0p100;1953;1999391;001;f
OL;npopulf001;p0p100;1954;1982924;001;f
OL;npopulf001;p0p100;1955;1984791;001;f
OL;npopulf001;p0p100;1956;1999591;001;f
OL;npopulf001;p0p100;1957;2016646;001;f
OL;npopulf001;p0p100;1958;2035589;001;f
OL;npopulf001;p0p100;1959;2056164;001;f
OL;npopulf001;p0p100;1960;2069364;001;f
OL;npopulf001;p0p100;1961;2088642;001;f
OL;npopulf001;p0p100;1962;2108621;001;f
OL;npopulf001;p0p100;1963;2124107;001;f
OL;npopulf001;p0p100;1964;2141316;001;f
OL;npopulf001;p0p100;1965;2164552;001;f
OL;npopulf001;p0p100;1966;2159652;001;f
OL;npopulf001;p0p100;1967;2151391;001;f
OL;npopulf001;p0p100;1968;2130039;001;f
OL;npopulf001;p0p100;1969;2090355;001;f
OL;npopulf001;p0p100;1970;2034768;001;f
OL;npopulf001;p0p100;1971;1992479;001;f
OL;npopulf001;p0p100;1972;1963055;001;f
OL;npopulf001;p0p100;1973;1925469;001;f
OL;npopulf001;p0p100;1974;1892999;001;f
OL;npopulf001;p0p100;1975;1868442;001;f
OL;npopulf001;p0p100;1976;1845290;001;f
OL;npopulf001;p0p100;1977;1826860;001;f
OL;npopulf001;p0p100;1978;1814535;001;f
OL;npopulf001;p0p100;1979;1806524;001;f
OL;npopulf001;p0p100;1980;1801226;001;f
OL;npopulf001;p0p100;1981;1798221;001;f
OL;npopulf001;p0p100;1982;1789282;001;f
OL;npopulf001;p0p100;1983;1776385;001;f
OL;npopulf001;p0p100;1984;1753404;001;f
OL;npopulf001;p0p100;1985;1713956;001;f
OL;npopulf001;p0p100;1986;1676018;001;f
OL;npopulf001;p0p100;1987;1636355;001;f
OL;npopulf001;p0p100;1988;1604674;001;f
OL;npopulf001;p0p100;1989;1583148;001;f
OL;npopulf001;p0p100;1990;1573275;001;f
OL;npopulf001;p0p100;1991;1567024;001;f
OL;npopulf001;p0p100;1992;1590129;001;f
OL;npopulf001;p0p100;1993;1600079;001;f
