country;variable;percentile;year;value;age;pop
OO;npopulf001;p0p100;1950;1856287;001;f
OO;npopulf001;p0p100;1951;1912909;001;f
OO;npopulf001;p0p100;1952;1979439;001;f
OO;npopulf001;p0p100;1953;2051866;001;f
OO;npopulf001;p0p100;1954;2126476;001;f
OO;npopulf001;p0p100;1955;2196281;001;f
OO;npopulf001;p0p100;1956;2258221;001;f
OO;npopulf001;p0p100;1957;2304352;001;f
OO;npopulf001;p0p100;1958;2336790;001;f
OO;npopulf001;p0p100;1959;2378434;001;f
OO;npopulf001;p0p100;1960;2434170;001;f
OO;npopulf001;p0p100;1961;2506098;001;f
OO;npopulf001;p0p100;1962;2615001;001;f
OO;npopulf001;p0p100;1963;2752347;001;f
OO;npopulf001;p0p100;1964;2886895;001;f
OO;npopulf001;p0p100;1965;3022342;001;f
OO;npopulf001;p0p100;1966;3159020;001;f
OO;npopulf001;p0p100;1967;3279051;001;f
OO;npopulf001;p0p100;1968;3385124;001;f
OO;npopulf001;p0p100;1969;3489899;001;f
OO;npopulf001;p0p100;1970;3594356;001;f
OO;npopulf001;p0p100;1971;3701127;001;f
OO;npopulf001;p0p100;1972;3812255;001;f
OO;npopulf001;p0p100;1973;3924357;001;f
OO;npopulf001;p0p100;1974;4043852;001;f
OO;npopulf001;p0p100;1975;4174412;001;f
OO;npopulf001;p0p100;1976;4306205;001;f
OO;npopulf001;p0p100;1977;4442152;001;f
OO;npopulf001;p0p100;1978;4580059;001;f
OO;npopulf001;p0p100;1979;4714649;001;f
OO;npopulf001;p0p100;1980;4852839;001;f
OO;npopulf001;p0p100;1981;4991258;001;f
OO;npopulf001;p0p100;1982;5109051;001;f
OO;npopulf001;p0p100;1983;5212563;001;f
OO;npopulf001;p0p100;1984;5340021;001;f
OO;npopulf001;p0p100;1985;5476170;001;f
OO;npopulf001;p0p100;1986;5614646;001;f
OO;npopulf001;p0p100;1987;5762205;001;f
OO;npopulf001;p0p100;1988;5900646;001;f
OO;npopulf001;p0p100;1989;6029661;001;f
OO;npopulf001;p0p100;1990;6091334;001;f
OO;npopulf001;p0p100;1991;6161329;001;f
OO;npopulf001;p0p100;1992;6294426;001;f
OO;npopulf001;p0p100;1993;6444272;001;f
OO;npopulf001;p0p100;1994;6593949;001;f
OO;npopulf001;p0p100;1995;6707351;001;f
OO;npopulf001;p0p100;1996;6790619;001;f
OO;npopulf001;p0p100;1997;6854297;001;f
OO;npopulf001;p0p100;1998;6915900;001;f
OO;npopulf001;p0p100;1999;6980362;001;f
OO;npopulf001;p0p100;2000;7054464;001;f
OO;npopulf001;p0p100;2001;7140236;001;f
OO;npopulf001;p0p100;2002;7235342;001;f
OO;npopulf001;p0p100;2003;7333005;001;f
OO;npopulf001;p0p100;2004;7436569;001;f
OO;npopulf001;p0p100;2005;7555181;001;f
OO;npopulf001;p0p100;2006;7673023;001;f
OO;npopulf001;p0p100;2007;7798879;001;f
OO;npopulf001;p0p100;2008;7982101;001;f
OO;npopulf001;p0p100;2009;8201907;001;f
OO;npopulf001;p0p100;2010;8427289;001;f
OO;npopulf001;p0p100;2011;8659307;001;f
OO;npopulf001;p0p100;2012;8887678;001;f
OO;npopulf001;p0p100;2013;9113962;001;f
OO;npopulf001;p0p100;2014;9296554;001;f
OO;npopulf001;p0p100;2015;9392055;001;f
OO;npopulf001;p0p100;2016;9408402;001;f
OO;npopulf001;p0p100;2017;9376802;001;f
OO;npopulf001;p0p100;2018;9340019;001;f
OO;npopulf001;p0p100;2019;9326926;001;f
OO;npopulf001;p0p100;2020;9352150;001;f
OO;npopulf001;p0p100;2021;9420893;001;f
OO;npopulf001;p0p100;2022;9531273;001;f
OO;npopulf001;p0p100;2023;9669484;001;f
OO;npopuli001;p0p100;1950;3809370;001;i
OO;npopuli001;p0p100;1951;3912418;001;i
OO;npopuli001;p0p100;1952;4036013;001;i
OO;npopuli001;p0p100;1953;4172626;001;i
OO;npopuli001;p0p100;1954;4318644;001;i
OO;npopuli001;p0p100;1955;4460392;001;i
OO;npopuli001;p0p100;1956;4587837;001;i
OO;npopuli001;p0p100;1957;4683403;001;i
OO;npopuli001;p0p100;1958;4751582;001;i
OO;npopuli001;p0p100;1959;4838721;001;i
OO;npopuli001;p0p100;1960;4954214;001;i
OO;npopuli001;p0p100;1961;5102730;001;i
OO;npopuli001;p0p100;1962;5326820;001;i
OO;npopuli001;p0p100;1963;5608855;001;i
OO;npopuli001;p0p100;1964;5885332;001;i
OO;npopuli001;p0p100;1965;6163622;001;i
OO;npopuli001;p0p100;1966;6443988;001;i
OO;npopuli001;p0p100;1967;6689946;001;i
OO;npopuli001;p0p100;1968;6907513;001;i
OO;npopuli001;p0p100;1969;7122770;001;i
OO;npopuli001;p0p100;1970;7337826;001;i
OO;npopuli001;p0p100;1971;7558463;001;i
OO;npopuli001;p0p100;1972;7788946;001;i
OO;npopuli001;p0p100;1973;8022297;001;i
OO;npopuli001;p0p100;1974;8270683;001;i
OO;npopuli001;p0p100;1975;8540973;001;i
OO;npopuli001;p0p100;1976;8812669;001;i
OO;npopuli001;p0p100;1977;9091796;001;i
OO;npopuli001;p0p100;1978;9376276;001;i
OO;npopuli001;p0p100;1979;9655905;001;i
OO;npopuli001;p0p100;1980;9943586;001;i
OO;npopuli001;p0p100;1981;10232087;001;i
OO;npopuli001;p0p100;1982;10484379;001;i
OO;npopuli001;p0p100;1983;10713926;001;i
OO;npopuli001;p0p100;1984;10980041;001;i
OO;npopuli001;p0p100;1985;11251259;001;i
OO;npopuli001;p0p100;1986;11527097;001;i
OO;npopuli001;p0p100;1987;11820901;001;i
OO;npopuli001;p0p100;1988;12095190;001;i
OO;npopuli001;p0p100;1989;12354325;001;i
OO;npopuli001;p0p100;1990;12480642;001;i
OO;npopuli001;p0p100;1991;12624541;001;i
