country;variable;percentile;year;value;age;pop
OP;npopulf001;p0p100;1950;3071223;001;f
OP;npopulf001;p0p100;1951;3152287;001;f
OP;npopulf001;p0p100;1952;3229502;001;f
OP;npopulf001;p0p100;1953;3303194;001;f
OP;npopulf001;p0p100;1954;3382091;001;f
OP;npopulf001;p0p100;1955;3466145;001;f
OP;npopulf001;p0p100;1956;3549479;001;f
OP;npopulf001;p0p100;1957;3633410;001;f
OP;npopulf001;p0p100;1958;3717503;001;f
OP;npopulf001;p0p100;1959;3801084;001;f
OP;npopulf001;p0p100;1960;3885119;001;f
OP;npopulf001;p0p100;1961;3969263;001;f
OP;npopulf001;p0p100;1962;4050372;001;f
OP;npopulf001;p0p100;1963;4128128;001;f
OP;npopulf001;p0p100;1964;4204359;001;f
OP;npopulf001;p0p100;1965;4278471;001;f
OP;npopulf001;p0p100;1966;4349815;001;f
OP;npopulf001;p0p100;1967;4419430;001;f
OP;npopulf001;p0p100;1968;4488292;001;f
OP;npopulf001;p0p100;1969;4556753;001;f
OP;npopulf001;p0p100;1970;4625914;001;f
OP;npopulf001;p0p100;1971;4696396;001;f
OP;npopulf001;p0p100;1972;4767724;001;f
OP;npopulf001;p0p100;1973;4836448;001;f
OP;npopulf001;p0p100;1974;4895355;001;f
OP;npopulf001;p0p100;1975;4929815;001;f
OP;npopulf001;p0p100;1976;4943826;001;f
OP;npopulf001;p0p100;1977;4955495;001;f
OP;npopulf001;p0p100;1978;4981976;001;f
OP;npopulf001;p0p100;1979;5036219;001;f
OP;npopulf001;p0p100;1980;5090822;001;f
OP;npopulf001;p0p100;1981;5111863;001;f
OP;npopulf001;p0p100;1982;5168343;001;f
OP;npopulf001;p0p100;1983;5292522;001;f
OP;npopulf001;p0p100;1984;5433215;001;f
OP;npopulf001;p0p100;1985;5544707;001;f
OP;npopulf001;p0p100;1986;5621935;001;f
OP;npopulf001;p0p100;1987;5700717;001;f
OP;npopulf001;p0p100;1988;5800414;001;f
OP;npopulf001;p0p100;1989;5915931;001;f
OP;npopulf001;p0p100;1990;6008416;001;f
OP;npopulf001;p0p100;1991;6103729;001;f
OP;npopulf001;p0p100;1992;6303948;001;f
OP;npopulf001;p0p100;1993;6585444;001;f
OP;npopulf001;p0p100;1994;6860351;001;f
OP;npopulf001;p0p100;1995;7089781;001;f
OP;npopulf001;p0p100;1996;7277317;001;f
OP;npopulf001;p0p100;1997;7409050;001;f
OP;npopulf001;p0p100;1998;7485632;001;f
OP;npopulf001;p0p100;1999;7495473;001;f
OP;npopulf001;p0p100;2000;7438178;001;f
OP;npopulf001;p0p100;2001;7390283;001;f
OP;npopulf001;p0p100;2002;7449177;001;f
OP;npopulf001;p0p100;2003;7529064;001;f
OP;npopulf001;p0p100;2004;7557864;001;f
OP;npopulf001;p0p100;2005;7578650;001;f
OP;npopulf001;p0p100;2006;7604473;001;f
OP;npopulf001;p0p100;2007;7574989;001;f
OP;npopulf001;p0p100;2008;7567173;001;f
OP;npopulf001;p0p100;2009;7594533;001;f
OP;npopulf001;p0p100;2010;7603549;001;f
OP;npopulf001;p0p100;2011;7642858;001;f
OP;npopulf001;p0p100;2012;7709684;001;f
OP;npopulf001;p0p100;2013;7773222;001;f
OP;npopulf001;p0p100;2014;7858604;001;f
OP;npopulf001;p0p100;2015;7944589;001;f
OP;npopulf001;p0p100;2016;8021094;001;f
OP;npopulf001;p0p100;2017;8090218;001;f
OP;npopulf001;p0p100;2018;8138417;001;f
OP;npopulf001;p0p100;2019;8164846;001;f
OP;npopulf001;p0p100;2020;8161676;001;f
OP;npopulf001;p0p100;2021;8126011;001;f
OP;npopulf001;p0p100;2022;8069602;001;f
OP;npopulf001;p0p100;2023;8040411;001;f
OP;npopuli001;p0p100;1950;6195083;001;i
OP;npopuli001;p0p100;1951;6365332;001;i
OP;npopuli001;p0p100;1952;6530649;001;i
OP;npopuli001;p0p100;1953;6691533;001;i
OP;npopuli001;p0p100;1954;6862581;001;i
OP;npopuli001;p0p100;1955;7038615;001;i
OP;npopuli001;p0p100;1956;7209045;001;i
OP;npopuli001;p0p100;1957;7380668;001;i
OP;npopuli001;p0p100;1958;7552088;001;i
OP;npopuli001;p0p100;1959;7722113;001;i
OP;npopuli001;p0p100;1960;7893401;001;i
OP;npopuli001;p0p100;1961;8065338;001;i
OP;npopuli001;p0p100;1962;8231561;001;i
OP;npopuli001;p0p100;1963;8391315;001;i
OP;npopuli001;p0p100;1964;8548038;001;i
OP;npopuli001;p0p100;1965;8700303;001;i
OP;npopuli001;p0p100;1966;8846844;001;i
OP;npopuli001;p0p100;1967;8989463;001;i
OP;npopuli001;p0p100;1968;9130401;001;i
OP;npopuli001;p0p100;1969;9270301;001;i
OP;npopuli001;p0p100;1970;9411371;001;i
OP;npopuli001;p0p100;1971;9555345;001;i
OP;npopuli001;p0p100;1972;9701308;001;i
OP;npopuli001;p0p100;1973;9842582;001;i
OP;npopuli001;p0p100;1974;9964686;001;i
OP;npopuli001;p0p100;1975;10035800;001;i
OP;npopuli001;p0p100;1976;10064433;001;i
OP;npopuli001;p0p100;1977;10090268;001;i
OP;npopuli001;p0p100;1978;10148419;001;i
OP;npopuli001;p0p100;1979;10265137;001;i
OP;npopuli001;p0p100;1980;10383313;001;i
OP;npopuli001;p0p100;1981;10432882;001;i
OP;npopuli001;p0p100;1982;10554240;001;i
OP;npopuli001;p0p100;1983;10812941;001;i
OP;npopuli001;p0p100;1984;11104932;001;i
OP;npopuli001;p0p100;1985;11336503;001;i
OP;npopuli001;p0p100;1986;11497739;001;i
OP;npopuli001;p0p100;1987;11662142;001;i
OP;npopuli001;p0p100;1988;11869306;001;i
OP;npopuli001;p0p100;1989;12108893;001;i
OP;npopuli001;p0p100;1990;12300743;001;i
OP;npopuli001;p0p100;1991;12495180;001;i
OP;npopuli001;p0p100;1992;12901021;001;i
OP;npopuli001;p0p100;1993;13473442;001;i
OP;npopuli001;p0p100;1994;14033117;001;i
OP;npopuli001;p0p100;1995;14500578;001;i
OP;npopuli001;p0p100;1996;14887169;001;i
OP;npopuli001;p0p100;1997;15163865;001;i
OP;npopuli001;p0p100;1998;15327570;001;i
OP;npopuli001;p0p100;1999;15354752;001;i
OP;npopuli001;p0p100;2000;15245201;001;i
OP;npopuli001;p0p100;2001;15151694;001;i
OP;npopuli001;p0p100;2002;15273326;001;i
OP;npopuli001;p0p100;2003;15437629;001;i
OP;npopuli001;p0p100;2004;15497298;001;i
OP;npopuli001;p0p100;2005;15539816;001;i
OP;npopuli001;p0p100;2006;15591368;001;i
OP;npopuli001;p0p100;2007;15527976;001;i
OP;npopuli001;p0p100;2008;15509168;001;i
OP;npopuli001;p0p100;2009;15563517;001;i
OP;npopuli001;p0p100;2010;15580636;001;i
OP;npopuli001;p0p100;2011;15661763;001;i
OP;npopuli001;p0p100;2012;15803375;001;i
OP;npopuli001;p0p100;2013;15940869;001;i
OP;npopuli001;p0p100;2014;16121434;001;i
OP;npopuli001;p0p100;2015;16300175;001;i
OP;npopuli001;p0p100;2016;16455688;001;i
OP;npopuli001;p0p100;2017;16588891;001;i
OP;npopuli001;p0p100;2018;16673015;001;i
OP;npopuli001;p0p100;2019;16724119;001;i
OP;npopuli001;p0p100;2020;16726177;001;i
OP;npopuli001;p0p100;2021;16651329;001;i
OP;npopuli001;p0p100;2022;16528144;001;i
OP;npopuli001;p0p100;2023;16465683;001;i
OP;npopulm001;p0p100;1950;3123861;001;m
OP;npopulm001;p0p100;1951;3213044;001;m
OP;npopulm001;p0p100;1952;3301146;001;m
OP;npopulm001;p0p100;1953;3388341;001;m
OP;npopulm001;p0p100;1954;3480496;001;m
OP;npopulm001;p0p100;1955;3572474;001;m
OP;npopulm001;p0p100;1956;3659568;001;m
OP;npopulm001;p0p100;1957;3747252;001;m
OP;npopulm001;p0p100;1958;3834588;001;m
OP;npopulm001;p0p100;1959;3921031;001;m
OP;npopulm001;p0p100;1960;4008283;001;m
OP;npopulm001;p0p100;1961;4096079;001;m
OP;npopulm001;p0p100;1962;4181191;001;m
