country;variable;percentile;year;value;age;pop
OQ;npopulf001;p0p100;1950;6662036;001;f
OQ;npopulf001;p0p100;1951;6846907;001;f
OQ;npopulf001;p0p100;1952;7042789;001;f
OQ;npopulf001;p0p100;1953;7259307;001;f
OQ;npopulf001;p0p100;1954;7482229;001;f
OQ;npopulf001;p0p100;1955;7690523;001;f
OQ;npopulf001;p0p100;1956;7894482;001;f
OQ;npopulf001;p0p100;1957;8103711;001;f
OQ;npopulf001;p0p100;1958;8316483;001;f
OQ;npopulf001;p0p100;1959;8536270;001;f
OQ;npopulf001;p0p100;1960;8763389;001;f
OQ;npopulf001;p0p100;1961;8999322;001;f
OQ;npopulf001;p0p100;1962;9243686;001;f
OQ;npopulf001;p0p100;1963;9490984;001;f
OQ;npopulf001;p0p100;1964;9742753;001;f
OQ;npopulf001;p0p100;1965;10000416;001;f
OQ;npopulf001;p0p100;1966;10258166;001;f
OQ;npopulf001;p0p100;1967;10520335;001;f
OQ;npopulf001;p0p100;1968;10797541;001;f
OQ;npopulf001;p0p100;1969;11089858;001;f
OQ;npopulf001;p0p100;1970;11399143;001;f
OQ;npopulf001;p0p100;1971;11723434;001;f
OQ;npopulf001;p0p100;1972;12056157;001;f
OQ;npopulf001;p0p100;1973;12399916;001;f
OQ;npopulf001;p0p100;1974;12758576;001;f
OQ;npopulf001;p0p100;1975;13135408;001;f
OQ;npopulf001;p0p100;1976;13531546;001;f
OQ;npopulf001;p0p100;1977;13947595;001;f
OQ;npopulf001;p0p100;1978;14400499;001;f
OQ;npopulf001;p0p100;1979;14890906;001;f
OQ;npopulf001;p0p100;1980;15366810;001;f
OQ;npopulf001;p0p100;1981;15801666;001;f
OQ;npopulf001;p0p100;1982;16241290;001;f
OQ;npopulf001;p0p100;1983;16695112;001;f
OQ;npopulf001;p0p100;1984;17142441;001;f
OQ;npopulf001;p0p100;1985;17598120;001;f
OQ;npopulf001;p0p100;1986;18066890;001;f
OQ;npopulf001;p0p100;1987;18520034;001;f
OQ;npopulf001;p0p100;1988;18907576;001;f
OQ;npopulf001;p0p100;1989;19304262;001;f
OQ;npopulf001;p0p100;1990;19684762;001;f
OQ;npopulf001;p0p100;1991;20138347;001;f
OQ;npopulf001;p0p100;1992;20520074;001;f
OQ;npopulf001;p0p100;1993;20962007;001;f
OQ;npopulf001;p0p100;1994;21462354;001;f
OQ;npopulf001;p0p100;1995;21989890;001;f
OQ;npopulf001;p0p100;1996;22516784;001;f
OQ;npopulf001;p0p100;1997;23072236;001;f
OQ;npopulf001;p0p100;1998;23598536;001;f
OQ;npopulf001;p0p100;1999;24172238;001;f
OQ;npopulf001;p0p100;2000;24794668;001;f
OQ;npopulf001;p0p100;2001;25443398;001;f
OQ;npopulf001;p0p100;2002;26111148;001;f
OQ;npopulf001;p0p100;2003;26799193;001;f
OQ;npopulf001;p0p100;2004;27515252;001;f
OQ;npopulf001;p0p100;2005;28263028;001;f
OQ;npopulf001;p0p100;2006;29037680;001;f
OQ;npopulf001;p0p100;2007;29839834;001;f
OQ;npopulf001;p0p100;2008;30652685;001;f
OQ;npopulf001;p0p100;2009;31457122;001;f
OQ;npopulf001;p0p100;2010;32263014;001;f
OQ;npopulf001;p0p100;2011;33034854;001;f
OQ;npopulf001;p0p100;2012;33796898;001;f
OQ;npopulf001;p0p100;2013;34583054;001;f
OQ;npopulf001;p0p100;2014;35302921;001;f
OQ;npopulf001;p0p100;2015;35929470;001;f
OQ;npopulf001;p0p100;2016;36504592;001;f
OQ;npopulf001;p0p100;2017;37029933;001;f
OQ;npopulf001;p0p100;2018;37542155;001;f
OQ;npopulf001;p0p100;2019;38090514;001;f
OQ;npopulf001;p0p100;2020;38677518;001;f
OQ;npopulf001;p0p100;2021;39296367;001;f
OQ;npopulf001;p0p100;2022;39898829;001;f
OQ;npopulf001;p0p100;2023;40438678;001;f
OQ;npopuli001;p0p100;1950;13410213;001;i
OQ;npopuli001;p0p100;1951;13765733;001;i
OQ;npopuli001;p0p100;1952;14144384;001;i
OQ;npopuli001;p0p100;1953;14564745;001;i
OQ;npopuli001;p0p100;1954;14998495;001;i
OQ;npopuli001;p0p100;1955;15410500;001;i
OQ;npopuli001;p0p100;1956;15822013;001;i
OQ;npopuli001;p0p100;1957;16244370;001;i
OQ;npopuli001;p0p100;1958;16674264;001;i
