country;variable;percentile;year;value;age;pop
QC-MER;mnweali999;p0p100;1995;54425252204512;999;i
QC-MER;mnweali999;p0p100;1996;58400848834256;999;i
QC-MER;mnweali999;p0p100;1997;63808005041456;999;i
QC-MER;mnweali999;p0p100;1998;70049083841288;999;i
QC-MER;mnweali999;p0p100;1999;76858265218440;999;i
QC-MER;mnweali999;p0p100;2000;80294353121528;999;i
QC-MER;mnweali999;p0p100;2001;80409483217368;999;i
QC-MER;mnweali999;p0p100;2002;78774948742176;999;i
QC-MER;mnweali999;p0p100;2003;81682404966824;999;i
QC-MER;mnweali999;p0p100;2004;89160130926920;999;i
QC-MER;mnweali999;p0p100;2005;96290357582016;999;i
QC-MER;mnweali999;p0p100;2006;101870146553664;999;i
QC-MER;mnweali999;p0p100;2007;106760054618192;999;i
QC-MER;mnweali999;p0p100;2008;98704950561072;999;i
QC-MER;mnweali999;p0p100;2009;89602893093312;999;i
QC-MER;mnweali999;p0p100;2010;90885888918384;999;i
QC-MER;mnweali999;p0p100;2011;92202123661504;999;i
QC-MER;mnweali999;p0p100;2012;94270563055264;999;i
QC-MER;mnweali999;p0p100;2013;101760719770800;999;i
QC-MER;mnweali999;p0p100;2014;108200942563120;999;i
QC-MER;mnweali999;p0p100;2015;112202451513344;999;i
QC-MER;mnweali999;p0p100;2016;115687829499872;999;i
QC-MER;mnweali999;p0p100;2017;123594138166592;999;i
QC-MER;mnweali999;p0p100;2018;126761422047088;999;i
QC-MER;mnweali999;p0p100;2019;132226513884944;999;i
QC-MER;mnweali999;p0p100;2020;145099629913984;999;i
QC-MER;mnweali999;p0p100;2021;158464205657840;999;i
QC-MER;mnweali999;p0p100;2022;157542176228400;999;i
QC-MER;mnweali999;p0p100;2023;155426978235920;999;i
QC-MER;mhweali999;p0p100;1995;48413062859472;999;i
QC-MER;mhweali999;p0p100;1996;51525349641176;999;i
QC-MER;mhweali999;p0p100;1997;55785004277344;999;i
QC-MER;mhweali999;p0p100;1998;60961743269296;999;i
QC-MER;mhweali999;p0p100;1999;66610795092996;999;i
QC-MER;mhweali999;p0p100;2000;68706458759808;999;i
QC-MER;mhweali999;p0p100;2001;68482032144112;999;i
QC-MER;mhweali999;p0p100;2002;67505908960408;999;i
QC-MER;mhweali999;p0p100;2003;69979845283600;999;i
QC-MER;mhweali999;p0p100;2004;76995037562344;999;i
QC-MER;mhweali999;p0p100;2005;82999851463288;999;i
QC-MER;mhweali999;p0p100;2006;86923136427744;999;i
QC-MER;mhweali999;p0p100;2007;90406454742216;999;i
QC-MER;mhweali999;p0p100;2008;83809751765288;999;i
QC-MER;mhweali999;p0p100;2009;78406959749992;999;i
QC-MER;mhweali999;p0p100;2010;81963973683752;999;i
QC-MER;mhweali999;p0p100;2011;83762340747896;999;i
QC-MER;mhweali999;p0p100;2012;86085054903552;999;i
QC-MER;mhweali999;p0p100;2013;93450320098776;999;i
QC-MER;mhweali999;p0p100;2014;99806990630576;999;i
QC-MER;mhweali999;p0p100;2015;104752913756864;999;i
QC-MER;mhweali999;p0p100;2016;109005915127656;999;i
QC-MER;mhweali999;p0p100;2017;116080989516896;999;i
QC-MER;mhweali999;p0p100;2018;119136607393768;999;i
QC-MER;mhweali999;p0p100;2019;124751748584992;999;i
QC-MER;mhweali999;p0p100;2020;138493185521840;999;i
QC-MER;mhweali999;p0p100;2021;150885302064672;999;i
QC-MER;mhweali999;p0p100;2022;148026171180752;999;i
QC-MER;mhweali999;p0p100;2023;145591314647904;999;i
QC-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
QC-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
QC-MER;inyixxi999;p0p100;1972;0.1724123954772949;999;i
QC-MER;inyixxi999;p0p100;1973;0.1841626018285751;999;i
QC-MER;inyixxi999;p0p100;1974;0.200347051024437;999;i
QC-MER;inyixxi999;p0p100;1975;0.2186037302017212;999;i
QC-MER;inyixxi999;p0p100;1976;0.233672022819519;999;i
QC-MER;inyixxi999;p0p100;1977;0.2487370371818542;999;i
QC-MER;inyixxi999;p0p100;1978;0.2643983364105225;999;i
QC-MER;inyixxi999;p0p100;1979;0.2823651731014252;999;i
QC-MER;inyixxi999;p0p100;1980;0.3052763938903809;999;i
QC-MER;inyixxi999;p0p100;1981;0.330408126115799;999;i
QC-MER;inyixxi999;p0p100;1982;0.3578794002532959;999;i
QC-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
QC-MER;inyixxi999;p0p100;1984;0.4020309746265411;999;i
QC-MER;inyixxi999;p0p100;1985;0.419781357049942;999;i
QC-MER;inyixxi999;p0p100;1986;0.4382108449935913;999;i
QC-MER;inyixxi999;p0p100;1987;0.4487565457820892;999;i
QC-MER;inyixxi999;p0p100;1988;0.4635440111160278;999;i
QC-MER;inyixxi999;p0p100;1989;0.4821927845478058;999;i
QC-MER;inyixxi999;p0p100;1990;0.5036841630935669;999;i
QC-MER;inyixxi999;p0p100;1991;0.5256145000457764;999;i
QC-MER;inyixxi999;p0p100;1992;0.5506653785705566;999;i
QC-MER;inyixxi999;p0p100;1993;0.5710884928703308;999;i
QC-MER;inyixxi999;p0p100;1994;0.5857305526733398;999;i
QC-MER;inyixxi999;p0p100;1995;0.6013585925102234;999;i
QC-MER;inyixxi999;p0p100;1996;0.6115171909332275;999;i
QC-MER;inyixxi999;p0p100;1997;0.6195247769355774;999;i
QC-MER;inyixxi999;p0p100;1998;0.6287034749984741;999;i
QC-MER;inyixxi999;p0p100;1999;0.634992778301239;999;i
QC-MER;inyixxi999;p0p100;2000;0.6434962749481201;999;i
QC-MER;inyixxi999;p0p100;2001;0.6589493751525879;999;i
QC-MER;inyixxi999;p0p100;2002;0.674133837223053;999;i
QC-MER;inyixxi999;p0p100;2003;0.6883910894393921;999;i
QC-MER;inyixxi999;p0p100;2004;0.7011814713478088;999;i
QC-MER;inyixxi999;p0p100;2005;0.7133486866950989;999;i
QC-MER;inyixxi999;p0p100;2006;0.7273454070091248;999;i
QC-MER;inyixxi999;p0p100;2007;0.744479238986969;999;i
QC-MER;inyixxi999;p0p100;2008;0.7592569589614868;999;i
QC-MER;inyixxi999;p0p100;2009;0.7666649222373962;999;i
QC-MER;inyixxi999;p0p100;2010;0.7726222276687622;999;i
QC-MER;inyixxi999;p0p100;2011;0.781162679195404;999;i
QC-MER;inyixxi999;p0p100;2012;0.7920234799385071;999;i
QC-MER;inyixxi999;p0p100;2013;0.8021302223205566;999;i
QC-MER;inyixxi999;p0p100;2014;0.8099281191825867;999;i
QC-MER;inyixxi999;p0p100;2015;0.8210051655769348;999;i
QC-MER;inyixxi999;p0p100;2016;0.8283549547195435;999;i
QC-MER;inyixxi999;p0p100;2017;0.8375656604766846;999;i
QC-MER;inyixxi999;p0p100;2018;0.8504635691642761;999;i
QC-MER;inyixxi999;p0p100;2019;0.8652668595314026;999;i
QC-MER;inyixxi999;p0p100;2020;0.8829702734947205;999;i
QC-MER;inyixxi999;p0p100;2021;0.903130292892456;999;i
QC-MER;inyixxi999;p0p100;2022;0.9439815282821655;999;i
QC-MER;inyixxi999;p0p100;2023;1;999;i
QC-MER;mcomhni999;p0p100;1970;3478853189632;999;i
