country;variable;percentile;year;value;age;pop
QH-MER;mhweali999;p0p100;1995;430657300944;999;i
QH-MER;mhweali999;p0p100;1996;460177463000;999;i
QH-MER;mhweali999;p0p100;1997;492764556384;999;i
QH-MER;mhweali999;p0p100;1998;521693500592;999;i
QH-MER;mhweali999;p0p100;1999;567540128004;999;i
QH-MER;mhweali999;p0p100;2000;615427571072;999;i
QH-MER;mhweali999;p0p100;2001;636461957872;999;i
QH-MER;mhweali999;p0p100;2002;639113317528;999;i
QH-MER;mhweali999;p0p100;2003;659573843472;999;i
QH-MER;mhweali999;p0p100;2004;683885750248;999;i
QH-MER;mhweali999;p0p100;2005;721913910904;999;i
QH-MER;mhweali999;p0p100;2006;766762696928;999;i
QH-MER;mhweali999;p0p100;2007;800684166600;999;i
QH-MER;mhweali999;p0p100;2008;872102542120;999;i
QH-MER;mhweali999;p0p100;2009;933104245096;999;i
QH-MER;mhweali999;p0p100;2010;924784509992;999;i
QH-MER;mhweali999;p0p100;2011;975670863480;999;i
QH-MER;mhweali999;p0p100;2012;1033473720576;999;i
QH-MER;mhweali999;p0p100;2013;1059081463768;999;i
QH-MER;mhweali999;p0p100;2014;1102676045488;999;i
QH-MER;mhweali999;p0p100;2015;1173969393344;999;i
QH-MER;mhweali999;p0p100;2016;1163897450344;999;i
QH-MER;mhweali999;p0p100;2017;1197129708128;999;i
QH-MER;mhweali999;p0p100;2018;1259876806120;999;i
QH-MER;mhweali999;p0p100;2019;1293535142944;999;i
QH-MER;mhweali999;p0p100;2020;1245999505072;999;i
QH-MER;mhweali999;p0p100;2021;1241933560352;999;i
QH-MER;mhweali999;p0p100;2022;1348030230736;999;i
QH-MER;mhweali999;p0p100;2023;1349058697568;999;i
QH-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
QH-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
QH-MER;inyixxi999;p0p100;1972;0.1724123805761337;999;i
QH-MER;inyixxi999;p0p100;1973;0.1841626018285751;999;i
QH-MER;inyixxi999;p0p100;1974;0.2003470361232758;999;i
QH-MER;inyixxi999;p0p100;1975;0.2186037451028824;999;i
QH-MER;inyixxi999;p0p100;1976;0.2336720079183578;999;i
QH-MER;inyixxi999;p0p100;1977;0.2487370073795319;999;i
QH-MER;inyixxi999;p0p100;1978;0.2643983066082001;999;i
QH-MER;inyixxi999;p0p100;1979;0.2823651432991028;999;i
QH-MER;inyixxi999;p0p100;1980;0.3052764236927032;999;i
QH-MER;inyixxi999;p0p100;1981;0.3304080963134766;999;i
QH-MER;inyixxi999;p0p100;1982;0.3578794002532959;999;i
QH-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
