country;variable;percentile;year;value;age;pop
QI-MER;mhweali999;p0p100;1995;1756571131136;999;i
QI-MER;mhweali999;p0p100;1996;1848639351552;999;i
QI-MER;mhweali999;p0p100;1997;2068621583360;999;i
QI-MER;mhweali999;p0p100;1998;2286333941504;999;i
QI-MER;mhweali999;p0p100;1999;2567034435328;999;i
QI-MER;mhweali999;p0p100;2000;2747009545472;999;i
QI-MER;mhweali999;p0p100;2001;2748871998976;999;i
QI-MER;mhweali999;p0p100;2002;2726225944064;999;i
QI-MER;mhweali999;p0p100;2003;2843498383616;999;i
QI-MER;mhweali999;p0p100;2004;2964040165888;999;i
QI-MER;mhweali999;p0p100;2005;2987692115456;999;i
QI-MER;mhweali999;p0p100;2006;3040384282624;999;i
QI-MER;mhweali999;p0p100;2007;3084765977856;999;i
QI-MER;mhweali999;p0p100;2008;3051543849472;999;i
QI-MER;mhweali999;p0p100;2009;3107779592704;999;i
QI-MER;mhweali999;p0p100;2010;3226586056704;999;i
QI-MER;mhweali999;p0p100;2011;3308570342400;999;i
QI-MER;mhweali999;p0p100;2012;3465233323008;999;i
QI-MER;mhweali999;p0p100;2013;3590388466176;999;i
QI-MER;mhweali999;p0p100;2014;3579781980160;999;i
QI-MER;mhweali999;p0p100;2015;3720794891264;999;i
QI-MER;mhweali999;p0p100;2016;3812819212288;999;i
QI-MER;mhweali999;p0p100;2017;3965729722368;999;i
QI-MER;mhweali999;p0p100;2018;4083740255744;999;i
QI-MER;mhweali999;p0p100;2019;4172919996928;999;i
QI-MER;mhweali999;p0p100;2020;4307598230016;999;i
QI-MER;mhweali999;p0p100;2021;4560268430848;999;i
QI-MER;mhweali999;p0p100;2022;4788709184512;999;i
QI-MER;mhweali999;p0p100;2023;5074871715840;999;i
QI-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
QI-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
QI-MER;inyixxi999;p0p100;1972;0.1724123805761337;999;i
QI-MER;inyixxi999;p0p100;1973;0.1841626167297363;999;i
QI-MER;inyixxi999;p0p100;1974;0.2003470361232758;999;i
QI-MER;inyixxi999;p0p100;1975;0.2186037302017212;999;i
QI-MER;inyixxi999;p0p100;1976;0.233672022819519;999;i
QI-MER;inyixxi999;p0p100;1977;0.2487370073795319;999;i
QI-MER;inyixxi999;p0p100;1978;0.2643983364105225;999;i
QI-MER;inyixxi999;p0p100;1979;0.2823651432991028;999;i
QI-MER;inyixxi999;p0p100;1980;0.3052764236927032;999;i
QI-MER;inyixxi999;p0p100;1981;0.330408126115799;999;i
QI-MER;inyixxi999;p0p100;1982;0.3578794002532959;999;i
QI-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
QI-MER;inyixxi999;p0p100;1984;0.4020309448242188;999;i
QI-MER;inyixxi999;p0p100;1985;0.419781357049942;999;i
