country;variable;percentile;year;value;age;pop
QR-MER;mhweali999;p0p100;1995;4070671721984;999;i
QR-MER;mhweali999;p0p100;1996;4172239848960;999;i
QR-MER;mhweali999;p0p100;1997;4518586957312;999;i
QR-MER;mhweali999;p0p100;1998;4748146760704;999;i
QR-MER;mhweali999;p0p100;1999;4757713180672;999;i
QR-MER;mhweali999;p0p100;2000;4929565555712;999;i
QR-MER;mhweali999;p0p100;2001;5083119773184;999;i
QR-MER;mhweali999;p0p100;2002;4826654560256;999;i
QR-MER;mhweali999;p0p100;2003;5043334523904;999;i
QR-MER;mhweali999;p0p100;2004;5531559289856;999;i
QR-MER;mhweali999;p0p100;2005;5804446318080;999;i
QR-MER;mhweali999;p0p100;2006;6190592898560;999;i
QR-MER;mhweali999;p0p100;2007;6636510268928;999;i
QR-MER;mhweali999;p0p100;2008;7066867545088;999;i
QR-MER;mhweali999;p0p100;2009;7361445655552;999;i
QR-MER;mhweali999;p0p100;2010;7970262074880;999;i
QR-MER;mhweali999;p0p100;2011;8746400770048;999;i
QR-MER;mhweali999;p0p100;2012;9382420329472;999;i
QR-MER;mhweali999;p0p100;2013;9840737700864;999;i
QR-MER;mhweali999;p0p100;2014;10119129167872;999;i
QR-MER;mhweali999;p0p100;2015;10258850604032;999;i
QR-MER;mhweali999;p0p100;2016;10074442918912;999;i
QR-MER;mhweali999;p0p100;2017;10343950039552;999;i
QR-MER;mhweali999;p0p100;2018;10262473546752;999;i
QR-MER;mhweali999;p0p100;2019;10247126828032;999;i
QR-MER;mhweali999;p0p100;2020;10280593753088;999;i
QR-MER;mhweali999;p0p100;2021;10650456180224;999;i
QR-MER;mhweali999;p0p100;2022;10855468304896;999;i
QR-MER;mhweali999;p0p100;2023;10913875116544;999;i
QR-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
QR-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
QR-MER;inyixxi999;p0p100;1972;0.1724123954772949;999;i
QR-MER;inyixxi999;p0p100;1973;0.1841626167297363;999;i
QR-MER;inyixxi999;p0p100;1974;0.200347051024437;999;i
QR-MER;inyixxi999;p0p100;1975;0.2186037302017212;999;i
QR-MER;inyixxi999;p0p100;1976;0.233672022819519;999;i
QR-MER;inyixxi999;p0p100;1977;0.2487370222806931;999;i
QR-MER;inyixxi999;p0p100;1978;0.2643983066082001;999;i
QR-MER;inyixxi999;p0p100;1979;0.2823651432991028;999;i
QR-MER;inyixxi999;p0p100;1980;0.3052764236927032;999;i
QR-MER;inyixxi999;p0p100;1981;0.3304080963134766;999;i
QR-MER;inyixxi999;p0p100;1982;0.3578793704509735;999;i
QR-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
QR-MER;inyixxi999;p0p100;1984;0.4020309448242188;999;i
QR-MER;inyixxi999;p0p100;1985;0.419781357049942;999;i
QR-MER;inyixxi999;p0p100;1986;0.4382108151912689;999;i
QR-MER;inyixxi999;p0p100;1987;0.4487565457820892;999;i
QR-MER;inyixxi999;p0p100;1988;0.4635440111160278;999;i
QR-MER;inyixxi999;p0p100;1989;0.4821927547454834;999;i
QR-MER;inyixxi999;p0p100;1990;0.5036841034889221;999;i
QR-MER;inyixxi999;p0p100;1991;0.5256144404411316;999;i
QR-MER;inyixxi999;p0p100;1992;0.5506653785705566;999;i
QR-MER;inyixxi999;p0p100;1993;0.571088433265686;999;i
QR-MER;inyixxi999;p0p100;1994;0.5857305526733398;999;i
QR-MER;inyixxi999;p0p100;1995;0.6013585925102234;999;i
QR-MER;inyixxi999;p0p100;1996;0.6115171313285828;999;i
QR-MER;inyixxi999;p0p100;1997;0.6195247173309326;999;i
QR-MER;inyixxi999;p0p100;1998;0.6287034749984741;999;i
QR-MER;inyixxi999;p0p100;1999;0.634992778301239;999;i
QR-MER;inyixxi999;p0p100;2000;0.6434962153434753;999;i
