country;variable;percentile;year;value;age;pop
SH;npopulf001;p0p100;1950;439;001;f
SH;npopulf001;p0p100;1951;438;001;f
SH;npopulf001;p0p100;1952;424;001;f
SH;npopulf001;p0p100;1953;405;001;f
SH;npopulf001;p0p100;1954;387;001;f
SH;npopulf001;p0p100;1955;369;001;f
SH;npopulf001;p0p100;1956;354;001;f
SH;npopulf001;p0p100;1957;349;001;f
SH;npopulf001;p0p100;1958;352;001;f
SH;npopulf001;p0p100;1959;356;001;f
SH;npopulf001;p0p100;1960;360;001;f
SH;npopulf001;p0p100;1961;366;001;f
SH;npopulf001;p0p100;1962;370;001;f
SH;npopulf001;p0p100;1963;372;001;f
SH;npopulf001;p0p100;1964;376;001;f
SH;npopulf001;p0p100;1965;381;001;f
SH;npopulf001;p0p100;1966;386;001;f
SH;npopulf001;p0p100;1967;385;001;f
SH;npopulf001;p0p100;1968;382;001;f
SH;npopulf001;p0p100;1969;379;001;f
SH;npopulf001;p0p100;1970;379;001;f
SH;npopulf001;p0p100;1971;378;001;f
SH;npopulf001;p0p100;1972;379;001;f
SH;npopulf001;p0p100;1973;379;001;f
SH;npopulf001;p0p100;1974;373;001;f
SH;npopulf001;p0p100;1975;362;001;f
SH;npopulf001;p0p100;1976;345;001;f
SH;npopulf001;p0p100;1977;331;001;f
SH;npopulf001;p0p100;1978;326;001;f
SH;npopulf001;p0p100;1979;324;001;f
SH;npopulf001;p0p100;1980;323;001;f
SH;npopulf001;p0p100;1981;324;001;f
SH;npopulf001;p0p100;1982;331;001;f
SH;npopulf001;p0p100;1983;332;001;f
SH;npopulf001;p0p100;1984;328;001;f
SH;npopulf001;p0p100;1985;318;001;f
SH;npopulf001;p0p100;1986;302;001;f
SH;npopulf001;p0p100;1987;280;001;f
SH;npopulf001;p0p100;1988;266;001;f
SH;npopulf001;p0p100;1989;265;001;f
SH;npopulf001;p0p100;1990;267;001;f
SH;npopulf001;p0p100;1991;261;001;f
SH;npopulf001;p0p100;1992;247;001;f
SH;npopulf001;p0p100;1993;235;001;f
SH;npopulf001;p0p100;1994;219;001;f
SH;npopulf001;p0p100;1995;201;001;f
SH;npopulf001;p0p100;1996;189;001;f
SH;npopulf001;p0p100;1997;183;001;f
SH;npopulf001;p0p100;1998;179;001;f
SH;npopulf001;p0p100;1999;175;001;f
SH;npopulf001;p0p100;2000;169;001;f
SH;npopulf001;p0p100;2001;159;001;f
SH;npopulf001;p0p100;2002;147;001;f
SH;npopulf001;p0p100;2003;141;001;f
SH;npopulf001;p0p100;2004;134;001;f
SH;npopulf001;p0p100;2005;126;001;f
SH;npopulf001;p0p100;2006;119;001;f
SH;npopulf001;p0p100;2007;114;001;f
SH;npopulf001;p0p100;2008;109;001;f
SH;npopulf001;p0p100;2009;108;001;f
SH;npopulf001;p0p100;2010;109;001;f
SH;npopulf001;p0p100;2011;112;001;f
SH;npopulf001;p0p100;2012;115;001;f
SH;npopulf001;p0p100;2013;115;001;f
SH;npopulf001;p0p100;2014;118;001;f
SH;npopulf001;p0p100;2015;125;001;f
SH;npopulf001;p0p100;2016;128;001;f
SH;npopulf001;p0p100;2017;127;001;f
SH;npopulf001;p0p100;2018;127;001;f
SH;npopulf001;p0p100;2019;123;001;f
SH;npopulf001;p0p100;2020;114;001;f
SH;npopulf001;p0p100;2021;105;001;f
SH;npopulf001;p0p100;2022;100;001;f
SH;npopulf001;p0p100;2023;98;001;f
SH;npopuli001;p0p100;1950;909;001;i
SH;npopuli001;p0p100;1951;898;001;i
SH;npopuli001;p0p100;1952;866;001;i
SH;npopuli001;p0p100;1953;830;001;i
SH;npopuli001;p0p100;1954;796;001;i
SH;npopuli001;p0p100;1955;764;001;i
SH;npopuli001;p0p100;1956;739;001;i
SH;npopuli001;p0p100;1957;730;001;i
SH;npopuli001;p0p100;1958;734;001;i
SH;npopuli001;p0p100;1959;738;001;i
SH;npopuli001;p0p100;1960;742;001;i
SH;npopuli001;p0p100;1961;748;001;i
SH;npopuli001;p0p100;1962;747;001;i
SH;npopuli001;p0p100;1963;741;001;i
SH;npopuli001;p0p100;1964;733;001;i
SH;npopuli001;p0p100;1965;724;001;i
SH;npopuli001;p0p100;1966;715;001;i
SH;npopuli001;p0p100;1967;715;001;i
SH;npopuli001;p0p100;1968;724;001;i
SH;npopuli001;p0p100;1969;737;001;i
SH;npopuli001;p0p100;1970;756;001;i
SH;npopuli001;p0p100;1971;771;001;i
SH;npopuli001;p0p100;1972;781;001;i
SH;npopuli001;p0p100;1973;780;001;i
SH;npopuli001;p0p100;1974;768;001;i
SH;npopuli001;p0p100;1975;741;001;i
SH;npopuli001;p0p100;1976;698;001;i
SH;npopuli001;p0p100;1977;663;001;i
SH;npopuli001;p0p100;1978;646;001;i
SH;npopuli001;p0p100;1979;637;001;i
SH;npopuli001;p0p100;1980;632;001;i
SH;npopuli001;p0p100;1981;636;001;i
SH;npopuli001;p0p100;1982;649;001;i
SH;npopuli001;p0p100;1983;655;001;i
SH;npopuli001;p0p100;1984;654;001;i
SH;npopuli001;p0p100;1985;644;001;i
SH;npopuli001;p0p100;1986;621;001;i
SH;npopuli001;p0p100;1987;590;001;i
SH;npopuli001;p0p100;1988;564;001;i
SH;npopuli001;p0p100;1989;551;001;i
SH;npopuli001;p0p100;1990;544;001;i
SH;npopuli001;p0p100;1991;530;001;i
SH;npopuli001;p0p100;1992;514;001;i
SH;npopuli001;p0p100;1993;498;001;i
SH;npopuli001;p0p100;1994;469;001;i
SH;npopuli001;p0p100;1995;443;001;i
SH;npopuli001;p0p100;1996;429;001;i
SH;npopuli001;p0p100;1997;410;001;i
SH;npopuli001;p0p100;1998;394;001;i
SH;npopuli001;p0p100;1999;381;001;i
SH;npopuli001;p0p100;2000;366;001;i
SH;npopuli001;p0p100;2001;340;001;i
SH;npopuli001;p0p100;2002;315;001;i
SH;npopuli001;p0p100;2003;296;001;i
SH;npopuli001;p0p100;2004;273;001;i
SH;npopuli001;p0p100;2005;250;001;i
SH;npopuli001;p0p100;2006;237;001;i
SH;npopuli001;p0p100;2007;230;001;i
SH;npopuli001;p0p100;2008;229;001;i
SH;npopuli001;p0p100;2009;234;001;i
SH;npopuli001;p0p100;2010;237;001;i
SH;npopuli001;p0p100;2011;239;001;i
SH;npopuli001;p0p100;2012;241;001;i
SH;npopuli001;p0p100;2013;240;001;i
SH;npopuli001;p0p100;2014;245;001;i
SH;npopuli001;p0p100;2015;256;001;i
SH;npopuli001;p0p100;2016;260;001;i
SH;npopuli001;p0p100;2017;261;001;i
SH;npopuli001;p0p100;2018;258;001;i
SH;npopuli001;p0p100;2019;248;001;i
SH;npopuli001;p0p100;2020;233;001;i
SH;npopuli001;p0p100;2021;219;001;i
SH;npopuli001;p0p100;2022;208;001;i
SH;npopuli001;p0p100;2023;204;001;i
SH;npopulm001;p0p100;1950;470;001;m
SH;npopulm001;p0p100;1951;461;001;m
SH;npopulm001;p0p100;1952;444;001;m
SH;npopulm001;p0p100;1953;426;001;m
SH;npopulm001;p0p100;1954;409;001;m
SH;npopulm001;p0p100;1955;396;001;m
SH;npopulm001;p0p100;1956;385;001;m
SH;npopulm001;p0p100;1957;381;001;m
SH;npopulm001;p0p100;1958;382;001;m
SH;npopulm001;p0p100;1959;382;001;m
SH;npopulm001;p0p100;1960;382;001;m
SH;npopulm001;p0p100;1961;382;001;m
SH;npopulm001;p0p100;1962;377;001;m
SH;npopulm001;p0p100;1963;369;001;m
SH;npopulm001;p0p100;1964;358;001;m
SH;npopulm001;p0p100;1965;343;001;m
SH;npopulm001;p0p100;1966;331;001;m
SH;npopulm001;p0p100;1967;331;001;m
SH;npopulm001;p0p100;1968;342;001;m
SH;npopulm001;p0p100;1969;358;001;m
SH;npopulm001;p0p100;1970;378;001;m
SH;npopulm001;p0p100;1971;394;001;m
SH;npopulm001;p0p100;1972;402;001;m
SH;npopulm001;p0p100;1973;402;001;m
SH;npopulm001;p0p100;1974;395;001;m
SH;npopulm001;p0p100;1975;380;001;m
SH;npopulm001;p0p100;1976;354;001;m
SH;npopulm001;p0p100;1977;332;001;m
