country;variable;percentile;year;value;age;pop
VI;aconfci992;p0p100;2002;11588.9;992;i
VI;aconfci992;p0p100;2003;11863.6;992;i
VI;aconfci992;p0p100;2004;12178.7;992;i
VI;aconfci992;p0p100;2005;12493.9;992;i
VI;aconfci992;p0p100;2006;12749.1;992;i
VI;aconfci992;p0p100;2007;12863.3;992;i
VI;aconfci992;p0p100;2008;12722.5;992;i
VI;aconfci992;p0p100;2009;12275.1;992;i
VI;aconfci992;p0p100;2010;11576.4;992;i
VI;aconfci992;p0p100;2011;10753;992;i
VI;aconfci992;p0p100;2012;9965.5;992;i
VI;aconfci992;p0p100;2013;9350.2;992;i
VI;aconfci992;p0p100;2014;8975.9;992;i
VI;aconfci992;p0p100;2015;8858.300000000001;992;i
VI;aconfci992;p0p100;2016;8959.1;992;i
VI;aconfci992;p0p100;2017;9198.300000000001;992;i
VI;aconfci992;p0p100;2018;9538.300000000001;992;i
VI;aconfci992;p0p100;2019;9940.6;992;i
VI;aconfci992;p0p100;2020;10252.3;992;i
VI;aconfci992;p0p100;2021;10471.9;992;i
VI;aconfci992;p0p100;2022;10713.6;992;i
VI;aconfci992;p0p100;2023;10971.7;992;i
VI;aconfci999;p0p100;2002;7805.700000000001;999;i
VI;aconfci999;p0p100;2003;8077.200000000001;999;i
VI;aconfci999;p0p100;2004;8381.6;999;i
VI;aconfci999;p0p100;2005;8687.300000000001;999;i
VI;aconfci999;p0p100;2006;8949.4;999;i
VI;aconfci999;p0p100;2007;9106.1;999;i
VI;aconfci999;p0p100;2008;9073.2;999;i
VI;aconfci999;p0p100;2009;8803;999;i
VI;aconfci999;p0p100;2010;8367.6;999;i
VI;aconfci999;p0p100;2011;7833.8;999;i
VI;aconfci999;p0p100;2012;7294.5;999;i
VI;aconfci999;p0p100;2013;6880;999;i
VI;aconfci999;p0p100;2014;6639.200000000001;999;i
VI;aconfci999;p0p100;2015;6602.400000000001;999;i
VI;aconfci999;p0p100;2016;6746.200000000001;999;i
VI;aconfci999;p0p100;2017;6997.3;999;i
VI;aconfci999;p0p100;2018;7329.1;999;i
VI;aconfci999;p0p100;2019;7713;999;i
VI;aconfci999;p0p100;2020;7984;999;i
VI;aconfci999;p0p100;2021;8137.6;999;i
VI;aconfci999;p0p100;2022;8312.800000000001;999;i
VI;aconfci999;p0p100;2023;8506.5;999;i
VI;agwfini992;p0p100;2002;43405.2;992;i
VI;agwfini992;p0p100;2003;42054.8;992;i
VI;agwfini992;p0p100;2004;42464.5;992;i
VI;agwfini992;p0p100;2005;44964.5;992;i
VI;agwfini992;p0p100;2006;46522.4;992;i
VI;agwfini992;p0p100;2007;47204.4;992;i
VI;agwfini992;p0p100;2008;47689.5;992;i
VI;agwfini992;p0p100;2009;43768.8;992;i
VI;agwfini992;p0p100;2010;39318.7;992;i
VI;agwfini992;p0p100;2011;36712.1;992;i
VI;agwfini992;p0p100;2012;32415.6;992;i
VI;agwfini992;p0p100;2013;30670.9;992;i
VI;agwfini992;p0p100;2014;30703.1;992;i
VI;agwfini992;p0p100;2015;30828.1;992;i
VI;agwfini992;p0p100;2016;30769;992;i
VI;agwfini992;p0p100;2017;31766.7;992;i
VI;agwfini992;p0p100;2018;33003;992;i
VI;agwfini992;p0p100;2019;34732;992;i
VI;agwfini992;p0p100;2020;36178.6;992;i
VI;agwfini992;p0p100;2021;35677.6;992;i
VI;agwfini992;p0p100;2022;32631.1;992;i
VI;agwfini992;p0p100;2023;32761.3;992;i
VI;agdproi999;p0p100;2002;54535.9;999;i
VI;agdproi999;p0p100;2003;54444.4;999;i
VI;agdproi999;p0p100;2004;56408.10000000001;999;i
VI;agdproi999;p0p100;2005;58498.3;999;i
VI;agdproi999;p0p100;2006;60636.60000000001;999;i
VI;agdproi999;p0p100;2007;63198.4;999;i
VI;agdproi999;p0p100;2008;64129.4;999;i
VI;agdproi999;p0p100;2009;60013;999;i
VI;agdproi999;p0p100;2010;60625.3;999;i
VI;agdproi999;p0p100;2011;56137.3;999;i
VI;agdproi999;p0p100;2012;48323.10000000001;999;i
VI;agdproi999;p0p100;2013;45786.8;999;i
VI;agdproi999;p0p100;2014;45484.9;999;i
VI;agdproi999;p0p100;2015;46082.7;999;i
VI;agdproi999;p0p100;2016;47998.7;999;i
VI;agdproi999;p0p100;2017;48982.7;999;i
VI;agdproi999;p0p100;2018;51438.5;999;i
VI;agdproi999;p0p100;2019;54682.8;999;i
VI;agdproi999;p0p100;2020;54653.4;999;i
VI;agdproi999;p0p100;2021;56525.3;999;i
VI;agdproi999;p0p100;2022;56485.2;999;i
VI;agdproi999;p0p100;2023;58360;999;i
VI;agninci999;p0p100;2002;54535.9;999;i
VI;agninci999;p0p100;2003;54444.4;999;i
VI;agninci999;p0p100;2004;56408.10000000001;999;i
VI;agninci999;p0p100;2005;58498.3;999;i
VI;agninci999;p0p100;2006;60636.60000000001;999;i
VI;agninci999;p0p100;2007;63198.4;999;i
VI;agninci999;p0p100;2008;64129.4;999;i
VI;agninci999;p0p100;2009;60013;999;i
VI;agninci999;p0p100;2010;60625.3;999;i
VI;agninci999;p0p100;2011;56137.3;999;i
VI;agninci999;p0p100;2012;48323.10000000001;999;i
VI;agninci999;p0p100;2013;45786.8;999;i
VI;agninci999;p0p100;2014;45484.9;999;i
VI;agninci999;p0p100;2015;46082.7;999;i
VI;agninci999;p0p100;2016;47998.7;999;i
VI;agninci999;p0p100;2017;48982.7;999;i
VI;agninci999;p0p100;2018;51438.5;999;i
VI;agninci999;p0p100;2019;54682.8;999;i
VI;agninci999;p0p100;2020;54653.4;999;i
VI;agninci999;p0p100;2021;56525.3;999;i
VI;agninci999;p0p100;2022;56485.2;999;i
VI;agninci999;p0p100;2023;58360;999;i
VI;agweali992;p0p100;2002;73772.3;992;i
VI;agweali992;p0p100;2003;73766.1;992;i
VI;agweali992;p0p100;2004;73916.1;992;i
VI;agweali992;p0p100;2005;80805.40000000001;992;i
VI;agweali992;p0p100;2006;83429.20000000001;992;i
VI;agweali992;p0p100;2007;85657.1;992;i
VI;agweali992;p0p100;2008;92415.20000000001;992;i
VI;agweali992;p0p100;2009;88389.8;992;i
VI;agweali992;p0p100;2010;81460.70000000001;992;i
VI;agweali992;p0p100;2011;79251.20000000001;992;i
VI;agweali992;p0p100;2012;69726;992;i
VI;agweali992;p0p100;2013;64341.5;992;i
