country;variable;percentile;year;value;age;pop
WF;npopulf001;p0p100;1950;814;001;f
WF;npopulf001;p0p100;1951;823;001;f
WF;npopulf001;p0p100;1952;840;001;f
WF;npopulf001;p0p100;1953;860;001;f
WF;npopulf001;p0p100;1954;873;001;f
WF;npopulf001;p0p100;1955;867;001;f
WF;npopulf001;p0p100;1956;843;001;f
WF;npopulf001;p0p100;1957;806;001;f
WF;npopulf001;p0p100;1958;761;001;f
WF;npopulf001;p0p100;1959;705;001;f
WF;npopulf001;p0p100;1960;636;001;f
WF;npopulf001;p0p100;1961;561;001;f
WF;npopulf001;p0p100;1962;498;001;f
WF;npopulf001;p0p100;1963;460;001;f
WF;npopulf001;p0p100;1964;440;001;f
WF;npopulf001;p0p100;1965;463;001;f
WF;npopulf001;p0p100;1966;527;001;f
WF;npopulf001;p0p100;1967;599;001;f
WF;npopulf001;p0p100;1968;660;001;f
WF;npopulf001;p0p100;1969;708;001;f
WF;npopulf001;p0p100;1970;752;001;f
WF;npopulf001;p0p100;1971;787;001;f
WF;npopulf001;p0p100;1972;809;001;f
WF;npopulf001;p0p100;1973;813;001;f
WF;npopulf001;p0p100;1974;788;001;f
WF;npopulf001;p0p100;1975;709;001;f
WF;npopulf001;p0p100;1976;655;001;f
WF;npopulf001;p0p100;1977;682;001;f
WF;npopulf001;p0p100;1978;733;001;f
WF;npopulf001;p0p100;1979;794;001;f
WF;npopulf001;p0p100;1980;871;001;f
WF;npopulf001;p0p100;1981;936;001;f
WF;npopulf001;p0p100;1982;977;001;f
WF;npopulf001;p0p100;1983;989;001;f
WF;npopulf001;p0p100;1984;974;001;f
WF;npopulf001;p0p100;1985;953;001;f
WF;npopulf001;p0p100;1986;930;001;f
WF;npopulf001;p0p100;1987;910;001;f
WF;npopulf001;p0p100;1988;895;001;f
WF;npopulf001;p0p100;1989;886;001;f
WF;npopulf001;p0p100;1990;884;001;f
WF;npopulf001;p0p100;1991;881;001;f
WF;npopulf001;p0p100;1992;878;001;f
WF;npopulf001;p0p100;1993;878;001;f
WF;npopulf001;p0p100;1994;876;001;f
WF;npopulf001;p0p100;1995;861;001;f
WF;npopulf001;p0p100;1996;829;001;f
WF;npopulf001;p0p100;1997;792;001;f
WF;npopulf001;p0p100;1998;762;001;f
WF;npopulf001;p0p100;1999;741;001;f
WF;npopulf001;p0p100;2000;732;001;f
WF;npopulf001;p0p100;2001;731;001;f
WF;npopulf001;p0p100;2002;728;001;f
WF;npopulf001;p0p100;2003;715;001;f
WF;npopulf001;p0p100;2004;689;001;f
WF;npopulf001;p0p100;2005;651;001;f
WF;npopulf001;p0p100;2006;618;001;f
WF;npopulf001;p0p100;2007;593;001;f
WF;npopulf001;p0p100;2008;569;001;f
WF;npopulf001;p0p100;2009;539;001;f
WF;npopulf001;p0p100;2010;509;001;f
WF;npopulf001;p0p100;2011;492;001;f
WF;npopulf001;p0p100;2012;490;001;f
WF;npopulf001;p0p100;2013;490;001;f
WF;npopulf001;p0p100;2014;473;001;f
WF;npopulf001;p0p100;2015;448;001;f
WF;npopulf001;p0p100;2016;428;001;f
WF;npopulf001;p0p100;2017;415;001;f
WF;npopulf001;p0p100;2018;398;001;f
WF;npopulf001;p0p100;2019;381;001;f
WF;npopulf001;p0p100;2020;363;001;f
WF;npopulf001;p0p100;2021;334;001;f
WF;npopulf001;p0p100;2022;300;001;f
WF;npopulf001;p0p100;2023;273;001;f
WF;npopuli001;p0p100;1950;1678;001;i
WF;npopuli001;p0p100;1951;1692;001;i
WF;npopuli001;p0p100;1952;1721;001;i
WF;npopuli001;p0p100;1953;1757;001;i
WF;npopuli001;p0p100;1954;1782;001;i
WF;npopuli001;p0p100;1955;1772;001;i
WF;npopuli001;p0p100;1956;1725;001;i
WF;npopuli001;p0p100;1957;1650;001;i
WF;npopuli001;p0p100;1958;1559;001;i
WF;npopuli001;p0p100;1959;1443;001;i
WF;npopuli001;p0p100;1960;1302;001;i
WF;npopuli001;p0p100;1961;1147;001;i
WF;npopuli001;p0p100;1962;1018;001;i
WF;npopuli001;p0p100;1963;942;001;i
WF;npopuli001;p0p100;1964;900;001;i
WF;npopuli001;p0p100;1965;947;001;i
WF;npopuli001;p0p100;1966;1079;001;i
WF;npopuli001;p0p100;1967;1230;001;i
WF;npopuli001;p0p100;1968;1363;001;i
WF;npopuli001;p0p100;1969;1467;001;i
WF;npopuli001;p0p100;1970;1557;001;i
WF;npopuli001;p0p100;1971;1628;001;i
WF;npopuli001;p0p100;1972;1671;001;i
WF;npopuli001;p0p100;1973;1680;001;i
WF;npopuli001;p0p100;1974;1629;001;i
WF;npopuli001;p0p100;1975;1458;001;i
WF;npopuli001;p0p100;1976;1330;001;i
WF;npopuli001;p0p100;1977;1374;001;i
WF;npopuli001;p0p100;1978;1479;001;i
WF;npopuli001;p0p100;1979;1606;001;i
WF;npopuli001;p0p100;1980;1766;001;i
WF;npopuli001;p0p100;1981;1903;001;i
WF;npopuli001;p0p100;1982;1992;001;i
WF;npopuli001;p0p100;1983;2028;001;i
WF;npopuli001;p0p100;1984;2010;001;i
WF;npopuli001;p0p100;1985;1976;001;i
WF;npopuli001;p0p100;1986;1932;001;i
WF;npopuli001;p0p100;1987;1889;001;i
WF;npopuli001;p0p100;1988;1854;001;i
WF;npopuli001;p0p100;1989;1831;001;i
WF;npopuli001;p0p100;1990;1815;001;i
WF;npopuli001;p0p100;1991;1801;001;i
WF;npopuli001;p0p100;1992;1788;001;i
WF;npopuli001;p0p100;1993;1788;001;i
WF;npopuli001;p0p100;1994;1783;001;i
WF;npopuli001;p0p100;1995;1758;001;i
WF;npopuli001;p0p100;1996;1710;001;i
WF;npopuli001;p0p100;1997;1650;001;i
WF;npopuli001;p0p100;1998;1599;001;i
WF;npopuli001;p0p100;1999;1562;001;i
WF;npopuli001;p0p100;2000;1545;001;i
WF;npopuli001;p0p100;2001;1542;001;i
WF;npopuli001;p0p100;2002;1535;001;i
WF;npopuli001;p0p100;2003;1512;001;i
WF;npopuli001;p0p100;2004;1458;001;i
WF;npopuli001;p0p100;2005;1379;001;i
WF;npopuli001;p0p100;2006;1309;001;i
WF;npopuli001;p0p100;2007;1252;001;i
WF;npopuli001;p0p100;2008;1190;001;i
WF;npopuli001;p0p100;2009;1118;001;i
WF;npopuli001;p0p100;2010;1053;001;i
WF;npopuli001;p0p100;2011;1016;001;i
WF;npopuli001;p0p100;2012;1007;001;i
WF;npopuli001;p0p100;2013;996;001;i
WF;npopuli001;p0p100;2014;956;001;i
WF;npopuli001;p0p100;2015;908;001;i
WF;npopuli001;p0p100;2016;874;001;i
WF;npopuli001;p0p100;2017;854;001;i
WF;npopuli001;p0p100;2018;825;001;i
