country;variable;percentile;year;value;age;pop
YU;aconfci992;p0p100;1950;2204.4;992;i
YU;aconfci992;p0p100;1951;2229.8;992;i
YU;aconfci992;p0p100;1952;2264.9;992;i
YU;aconfci992;p0p100;1953;2335.7;992;i
YU;aconfci992;p0p100;1954;2434.4;992;i
YU;aconfci992;p0p100;1955;2556.7;992;i
YU;aconfci992;p0p100;1956;2706.2;992;i
YU;aconfci992;p0p100;1957;2900.1;992;i
YU;aconfci992;p0p100;1958;3121.8;992;i
YU;aconfci992;p0p100;1959;3362.6;992;i
YU;aconfci992;p0p100;1960;3601;992;i
YU;aconfci992;p0p100;1961;3831.2;992;i
YU;aconfci992;p0p100;1962;4066.5;992;i
YU;aconfci992;p0p100;1963;4323.6;992;i
YU;aconfci992;p0p100;1964;4584;992;i
YU;aconfci992;p0p100;1965;4823.1;992;i
YU;aconfci992;p0p100;1966;5039.6;992;i
YU;aconfci992;p0p100;1967;5243.6;992;i
YU;aconfci992;p0p100;1968;5467.8;992;i
YU;aconfci992;p0p100;1969;5739;992;i
YU;aconfci992;p0p100;1970;6040.700000000001;992;i
YU;aconfci992;p0p100;1971;6363.8;992;i
YU;aconfci992;p0p100;1972;6699.1;992;i
YU;aconfci992;p0p100;1973;7056;992;i
YU;aconfci992;p0p100;1974;7436.5;992;i
YU;aconfci992;p0p100;1975;7815.6;992;i
YU;aconfci992;p0p100;1976;8203;992;i
YU;aconfci992;p0p100;1977;8595.800000000001;992;i
YU;aconfci992;p0p100;1978;8955.300000000001;992;i
YU;aconfci992;p0p100;1979;9226.800000000001;992;i
YU;aconfci992;p0p100;1980;9360.7;992;i
YU;aconfci992;p0p100;1981;9359.300000000001;992;i
YU;aconfci992;p0p100;1982;9275.800000000001;992;i
YU;aconfci992;p0p100;1983;9169.2;992;i
YU;aconfci992;p0p100;1984;9102.800000000001;992;i
YU;aconfci992;p0p100;1985;9094.1;992;i
YU;aconfci992;p0p100;1986;9128.1;992;i
YU;aconfci992;p0p100;1987;9199.9;992;i
YU;aconfci992;p0p100;1988;9338.9;992;i
YU;aconfci992;p0p100;1989;9545.5;992;i
YU;agdproi992;p0p100;1950;32528.9;992;i
YU;agdproi992;p0p100;1951;33133.1;992;i
YU;agdproi992;p0p100;1952;29881;992;i
YU;agdproi992;p0p100;1953;33671.4;992;i
YU;agdproi992;p0p100;1954;34874.1;992;i
YU;agdproi992;p0p100;1955;36423.9;992;i
YU;agdproi992;p0p100;1956;35007.7;992;i
YU;agdproi992;p0p100;1957;40202.10000000001;992;i
YU;agdproi992;p0p100;1958;41208.4;992;i
YU;agdproi992;p0p100;1959;45622.4;992;i
YU;agdproi992;p0p100;1960;47824.10000000001;992;i
YU;agdproi992;p0p100;1961;49324.2;992;i
YU;agdproi992;p0p100;1962;49639.7;992;i
YU;agdproi992;p0p100;1963;54225;992;i
YU;agdproi992;p0p100;1964;58801.3;992;i
YU;agdproi992;p0p100;1965;59808.60000000001;992;i
YU;agdproi992;p0p100;1966;62354.4;992;i
YU;agdproi992;p0p100;1967;62631.9;992;i
YU;agdproi992;p0p100;1968;63024.4;992;i
YU;agdproi992;p0p100;1969;68982.8;992;i
YU;agdproi992;p0p100;1970;71090.8;992;i
YU;agdproi992;p0p100;1971;75171.3;992;i
YU;agdproi992;p0p100;1972;76507.8;992;i
YU;agdproi992;p0p100;1973;78742.90000000001;992;i
YU;agdproi992;p0p100;1974;85732.8;992;i
YU;agdproi992;p0p100;1975;86464.3;992;i
YU;agdproi992;p0p100;1976;88877.8;992;i
YU;agdproi992;p0p100;1977;93481.3;992;i
YU;agdproi992;p0p100;1978;97404.1;992;i
YU;agdproi992;p0p100;1979;101827;992;i
YU;agdproi992;p0p100;1980;102887.2;992;i
YU;agdproi992;p0p100;1981;101518.5;992;i
YU;agdproi992;p0p100;1982;99976.70000000001;992;i
YU;agdproi992;p0p100;1983;95768.40000000001;992;i
YU;agdproi992;p0p100;1984;96695.3;992;i
YU;agdproi992;p0p100;1985;97092.3;992;i
YU;agdproi992;p0p100;1986;99891.20000000001;992;i
YU;agdproi992;p0p100;1987;98201.8;992;i
YU;agdproi992;p0p100;1988;96164;992;i
YU;agdproi992;p0p100;1989;104847.4;992;i
YU;agdproi999;p0p100;1950;19110.6;999;i
YU;agdproi999;p0p100;1951;19633.1;999;i
YU;agdproi999;p0p100;1952;17851.4;999;i
YU;agdproi999;p0p100;1953;20246.7;999;i
YU;agdproi999;p0p100;1954;21077.7;999;i
YU;agdproi999;p0p100;1955;22117.7;999;i
YU;agdproi999;p0p100;1956;21348;999;i
