country;variable;percentile;year;value;age;pop
ZZ;aconfci992;p0p100;1950;164532.6;992;i
ZZ;aconfci992;p0p100;1951;167360.8;992;i
ZZ;aconfci992;p0p100;1952;168924.4;992;i
ZZ;aconfci992;p0p100;1953;169280.4;992;i
ZZ;aconfci992;p0p100;1954;169409.7;992;i
ZZ;aconfci992;p0p100;1955;168978.8;992;i
ZZ;aconfci992;p0p100;1956;168028.7;992;i
ZZ;aconfci992;p0p100;1957;166978.8;992;i
ZZ;aconfci992;p0p100;1958;166300.3;992;i
ZZ;aconfci992;p0p100;1959;166541.7;992;i
ZZ;aconfci992;p0p100;1960;167772.2;992;i
ZZ;aconfci992;p0p100;1961;170120.5;992;i
ZZ;aconfci992;p0p100;1962;174416.9;992;i
ZZ;aconfci992;p0p100;1963;180289.7;992;i
ZZ;aconfci992;p0p100;1964;187062.4;992;i
ZZ;aconfci992;p0p100;1965;194511.5;992;i
ZZ;aconfci992;p0p100;1966;202393.1;992;i
ZZ;aconfci992;p0p100;1967;209180.5;992;i
ZZ;aconfci992;p0p100;1968;214142.1;992;i
ZZ;aconfci992;p0p100;1969;217665.8;992;i
ZZ;aconfci992;p0p100;1970;221067.8;992;i
ZZ;aconfci992;p0p100;1971;224329;992;i
ZZ;aconfci992;p0p100;1972;227105.5;992;i
ZZ;aconfci992;p0p100;1973;229259.9;992;i
ZZ;aconfci992;p0p100;1974;231137.4;992;i
ZZ;aconfci992;p0p100;1975;232580.3;992;i
ZZ;aconfci992;p0p100;1976;232805.3;992;i
ZZ;aconfci992;p0p100;1977;231083.4;992;i
ZZ;aconfci992;p0p100;1978;228202.9;992;i
ZZ;aconfci992;p0p100;1979;224966.4;992;i
ZZ;aconfci992;p0p100;1980;221294;992;i
ZZ;aconfci992;p0p100;1981;216713.6;992;i
ZZ;aconfci992;p0p100;1982;211648.3;992;i
ZZ;aconfci992;p0p100;1983;206265.4;992;i
ZZ;aconfci992;p0p100;1984;202802.5;992;i
ZZ;aconfci992;p0p100;1985;201078.6;992;i
ZZ;aconfci992;p0p100;1986;200397.9;992;i
ZZ;aconfci992;p0p100;1987;201000;992;i
ZZ;aconfci992;p0p100;1988;203417.3;992;i
ZZ;aconfci992;p0p100;1989;208119.7;992;i
ZZ;aconfci992;p0p100;1990;221044.3;992;i
ZZ;aconfci992;p0p100;1991;227286.1;992;i
ZZ;aconfci992;p0p100;1992;234740.7;992;i
ZZ;aconfci992;p0p100;1993;241554;992;i
ZZ;aconfci992;p0p100;1994;247657.3;992;i
ZZ;aconfci992;p0p100;1995;256867;992;i
ZZ;aconfci992;p0p100;1996;270401.3;992;i
ZZ;aconfci992;p0p100;1997;397932.4;992;i
ZZ;aconfci992;p0p100;1998;292996.3;992;i
ZZ;aconfci992;p0p100;1999;303702.1;992;i
ZZ;aconfci992;p0p100;2000;314711.8;992;i
ZZ;aconfci992;p0p100;2001;328105.6;992;i
ZZ;aconfci992;p0p100;2002;339106.8;992;i
ZZ;aconfci992;p0p100;2003;354151.8;992;i
ZZ;aconfci992;p0p100;2004;368589.6;992;i
ZZ;aconfci992;p0p100;2005;381832.1;992;i
ZZ;aconfci992;p0p100;2006;378578.1;992;i
ZZ;aconfci992;p0p100;2007;405504;992;i
ZZ;aconfci992;p0p100;2008;417485.2;992;i
ZZ;aconfci992;p0p100;2009;431513.6;992;i
ZZ;aconfci992;p0p100;2010;445342.6;992;i
ZZ;aconfci992;p0p100;2011;462228.6;992;i
ZZ;aconfci992;p0p100;2012;481673.2;992;i
ZZ;aconfci992;p0p100;2013;493364.3;992;i
ZZ;aconfci992;p0p100;2014;507135.9;992;i
ZZ;aconfci992;p0p100;2015;522146.7;992;i
ZZ;aconfci992;p0p100;2016;538060.8;992;i
ZZ;aconfci992;p0p100;2017;555870.5;992;i
ZZ;aconfci992;p0p100;2018;574730.1;992;i
ZZ;aconfci992;p0p100;2019;592721.8;992;i
ZZ;aconfci992;p0p100;2020;608826.8;992;i
ZZ;aconfci992;p0p100;2021;625897.1;992;i
ZZ;aconfci992;p0p100;2022;646278.2000000001;992;i
ZZ;aconfci992;p0p100;2023;693680.2000000001;992;i
ZZ;aconfci999;p0p100;1950;72221.8;999;i
ZZ;aconfci999;p0p100;1951;73682.1;999;i
ZZ;aconfci999;p0p100;1952;74561.7;999;i
ZZ;aconfci999;p0p100;1953;74884.90000000001;999;i
ZZ;aconfci999;p0p100;1954;75081.40000000001;999;i
ZZ;aconfci999;p0p100;1955;74996.90000000001;999;i
ZZ;aconfci999;p0p100;1956;74650.90000000001;999;i
ZZ;aconfci999;p0p100;1957;74230.40000000001;999;i
ZZ;aconfci999;p0p100;1958;73943.6;999;i
ZZ;aconfci999;p0p100;1959;74033;999;i
ZZ;aconfci999;p0p100;1960;74530.7;999;i
ZZ;aconfci999;p0p100;1961;75537.7;999;i
ZZ;aconfci999;p0p100;1962;77413.7;999;i
ZZ;aconfci999;p0p100;1963;79971.6;999;i
ZZ;aconfci999;p0p100;1964;82964.1;999;i
ZZ;aconfci999;p0p100;1965;86280.6;999;i
ZZ;aconfci999;p0p100;1966;89779;999;i
ZZ;aconfci999;p0p100;1967;92773.70000000001;999;i
ZZ;aconfci999;p0p100;1968;94989.3;999;i
ZZ;aconfci999;p0p100;1969;96519.70000000001;999;i
ZZ;aconfci999;p0p100;1970;97863;999;i
ZZ;aconfci999;p0p100;1971;99111;999;i
ZZ;aconfci999;p0p100;1972;100219.8;999;i
ZZ;aconfci999;p0p100;1973;101071.9;999;i
ZZ;aconfci999;p0p100;1974;101733.5;999;i
ZZ;aconfci999;p0p100;1975;102190.2;999;i
ZZ;aconfci999;p0p100;1976;102129.3;999;i
ZZ;aconfci999;p0p100;1977;101212.3;999;i
ZZ;aconfci999;p0p100;1978;99693.1;999;i
ZZ;aconfci999;p0p100;1979;97842.5;999;i
ZZ;aconfci999;p0p100;1980;95669;999;i
ZZ;aconfci999;p0p100;1981;93104.5;999;i
ZZ;aconfci999;p0p100;1982;90421.6;999;i
ZZ;aconfci999;p0p100;1983;87844.40000000001;999;i
ZZ;aconfci999;p0p100;1984;86166.90000000001;999;i
ZZ;aconfci999;p0p100;1985;85351.3;999;i
ZZ;aconfci999;p0p100;1986;85144;999;i
ZZ;aconfci999;p0p100;1987;85578.70000000001;999;i
